N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
25	;(Jueves)2025/12/25	;23	;Disminuir por78.9%	; --%	;32	;Disminuir por71.7%	; --%	;1180	;Disminuir por55.6%	; --%	;1617	;Disminuir por54.2%	; --%	;19	;Disminuir por90.9%	; --%	;25	;Disminuir por92.0%	; --%	;
26	;(Viernes)2025/12/26	;40	;Disminuir por28.6%	; --%	;53	;Disminuir por30.3%	; --%	;2031	;Disminuir por3.3%	; --%	;2453	;Disminuir por6.6%	; --%	;32	;Disminuir por80.1%	; --%	;56	;Disminuir por75.9%	; --%	;
27	;(Sábado)2025/12/27	;36	; --%	; --%	;44	; --%	; --%	;2209	; --%	; --%	;2679	; --%	; --%	;29	; --%	; --%	;42	; --%	; --%	;
28	;(Domingo)2025/12/28	;69	;Aumentar por40.8%	; --%	;80	;Aumentar por66.7%	; --%	;1462	;Aumentar por15.8%	; --%	;2045	;Aumentar por30.9%	; --%	;22	;Disminuir por75.6%	; --%	;42	;Disminuir por63.5%	; --%	;
29	;(Lunes)2025/12/29	;101	;Disminuir por12.2%	; --%	;121	;Disminuir por23.9%	; --%	;2728	;Disminuir por14.3%	; --%	;3323	;Disminuir por14.3%	; --%	;85	;Disminuir por70.1%	; --%	;112	;Disminuir por71.5%	; --%	;
30	;(Martes)2025/12/30	;165	;Aumentar por89.7%	; --%	;196	;Aumentar por78.2%	; --%	;2870	;Aumentar por40.2%	; --%	;3918	;Aumentar por54.9%	; --%	;169	;Disminuir por23.9%	; --%	;226	;Disminuir por25.9%	; --%	;
31	;(Miércoles)2025/12/31	;174	;Aumentar por37.0%	; --%	;193	;Aumentar por13.5%	; --%	;2568	;Disminuir por13.7%	; --%	;3442	;Disminuir por9.9%	; --%	;151	;Disminuir por43.4%	; --%	;232	;Disminuir por38.9%	; --%	;
32	;(Jueves)2026/01/01	;69	;Disminuir por36.7%	; --%	;99	;Disminuir por39.6%	; --%	;1500	;Disminuir por45.8%	; --%	;1976	;Disminuir por45.5%	; --%	;80	;Disminuir por71.3%	; --%	;132	;Disminuir por64.9%	; --%	;
33	;(Viernes)2026/01/02	;140	;Aumentar por15.7%	; --%	;178	;Aumentar por31.9%	; --%	;2775	;Disminuir por6.1%	; --%	;3664	;Disminuir por0.1%	; --%	;109	;Disminuir por56.9%	; --%	;212	;Disminuir por41.3%	; --%	;
34	;(Sábado)2026/01/03	;87	;Disminuir por1.1%	; --%	;93	;Disminuir por19.1%	; --%	;2463	;Disminuir por15.7%	; --%	;3271	;Disminuir por12.1%	; --%	;110	;Disminuir por49.5%	; --%	;174	;Disminuir por51.3%	; --%	;
35	;(Domingo)2026/01/04	;18	;Disminuir por85.7%	; --%	;21	;Disminuir por87.0%	; --%	;1298	;Disminuir por58.6%	; --%	;1716	;Disminuir por57.8%	; --%	;23	;Disminuir por92.7%	; --%	;44	;Disminuir por89.3%	; --%	;
36	;(Lunes)2026/01/05	;51	;Disminuir por59.2%	; --%	;52	;Disminuir por68.7%	; --%	;2332	;Disminuir por24.9%	; --%	;3207	;Disminuir por17.2%	; --%	;71	;Disminuir por74.8%	; --%	;113	;Disminuir por72.6%	; --%	;
37	;(Martes)2026/01/06	;67	;Disminuir por34.3%	; --%	;97	;Disminuir por27.6%	; --%	;1171	;Disminuir por44.1%	; --%	;1664	;Disminuir por35.2%	; --%	;50	;Disminuir por73.0%	; --%	;82	;Disminuir por71.0%	; --%	;
38	;(Miércoles)2026/01/07	;76	;Disminuir por24.8%	; --%	;119	;Disminuir por15.0%	; --%	;2279	;Disminuir por25.6%	; --%	;3189	;Disminuir por18.3%	; --%	;108	;Disminuir por58.9%	; --%	;162	;Disminuir por53.7%	; --%	;
39	;(Jueves)2026/01/08	;71	;Disminuir por27.6%	; --%	;103	;Aumentar por1.0%	; --%	;2008	;Disminuir por27.9%	; --%	;2949	;Disminuir por19.5%	; --%	;133	;Disminuir por52.5%	; --%	;203	;Disminuir por45.0%	; --%	;
40	;(Viernes)2026/01/09	;86	;Disminuir por4.4%	; --%	;135	;Aumentar por10.7%	; --%	;2324	;Disminuir por20.7%	; --%	;3188	;Disminuir por15.5%	; --%	;123	;Disminuir por52.0%	; --%	;202	;Disminuir por45.6%	; --%	;
41	;(Sábado)2026/01/10	;111	;Aumentar por38.8%	; --%	;147	;Aumentar por15.7%	; --%	;1944	;Disminuir por36.2%	; --%	;2676	;Disminuir por31.3%	; --%	;142	;Disminuir por41.3%	; --%	;177	;Disminuir por50.4%	; --%	;
42	;(Domingo)2026/01/11	;74	;Disminuir por28.2%	; --%	;129	;Disminuir por6.5%	; --%	;1163	;Disminuir por66.5%	; --%	;1595	;Disminuir por63.0%	; --%	;113	;Disminuir por64.4%	; --%	;186	;Disminuir por59.3%	; --%	;
