N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
44	;(Martes)2026/01/13	;247	;Disminuir por82.4%	; --%	;324	;Disminuir por83.4%	; --%	;29	;Aumentar por123.1%	; --%	;208	;Aumentar por98.1%	; --%	;7	;Disminuir por63.2%	; --%	;10	;Disminuir por93.9%	; --%	;
45	;(Miércoles)2026/01/14	;261	;Disminuir por74.7%	; --%	;339	;Disminuir por71.4%	; --%	;27	;Aumentar por42.1%	; --%	;213	;Disminuir por7.4%	; --%	;11	;Disminuir por56.0%	; --%	;19	;Disminuir por87.7%	; --%	;
46	;(Jueves)2026/01/15	;257	;Disminuir por72.9%	; --%	;338	;Disminuir por67.8%	; --%	;29	;Disminuir por3.3%	; --%	;222	;Disminuir por12.3%	; --%	;14	;Disminuir por17.6%	; --%	;29	;Disminuir por78.7%	; --%	;
47	;(Viernes)2026/01/16	;312	;Disminuir por62.8%	; --%	;381	;Disminuir por61.5%	; --%	;20	;Disminuir por33.3%	; --%	;217	;Disminuir por15.9%	; --%	;8	;Disminuir por57.9%	; --%	;24	;Disminuir por84.7%	; --%	;
48	;(Sábado)2026/01/17	;460	;Disminuir por50.3%	; --%	;542	;Disminuir por48.6%	; --%	;40	;Aumentar por66.7%	; --%	;229	;Disminuir por11.6%	; --%	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por99.3%	; --%	;
49	;(Domingo)2026/01/18	;392	;Disminuir por67.1%	; --%	;494	;Disminuir por65.3%	; --%	;10	;Disminuir por75.6%	; --%	;94	;Disminuir por62.8%	; --%	;7	;Disminuir por63.2%	; --%	;8	;Disminuir por94.6%	; --%	;
50	;(Lunes)2026/01/19	;229	;Disminuir por89.8%	; --%	;285	;Disminuir por88.6%	; --%	;24	;Disminuir por27.3%	; --%	;175	;Aumentar por4.8%	; --%	;6	;Disminuir por68.4%	; --%	;4	;Disminuir por97.4%	; --%	;
51	;(Martes)2026/01/20	;124	;Disminuir por94.3%	; --%	;185	;Disminuir por92.8%	; --%	;46	;Aumentar por53.3%	; --%	;194	;Aumentar por65.8%	; --%	;1	;Disminuir por95.8%	; --%	;2	;Disminuir por98.7%	; --%	;
52	;(Miércoles)2026/01/21	;225	;Disminuir por84.1%	; --%	;303	;Disminuir por81.9%	; --%	;33	;Aumentar por17.9%	; --%	;191	;Disminuir por13.6%	; --%	;5	;Disminuir por64.3%	; --%	;21	;Disminuir por87.7%	; --%	;
53	;(Jueves)2026/01/22	;312	;Disminuir por72.0%	; --%	;402	;Disminuir por69.3%	; --%	;15	;Disminuir por59.5%	; --%	;177	;Disminuir por26.3%	; --%	;21	;Aumentar por10.5%	; --%	;49	;Disminuir por70.7%	; --%	;
54	;(Viernes)2026/01/23	;294	;Disminuir por75.4%	; --%	;343	;Disminuir por75.7%	; --%	;25	;Disminuir por34.2%	; --%	;191	;Disminuir por23.9%	; --%	;12	;Disminuir por60.0%	; --%	;28	;Disminuir por85.5%	; --%	;
55	;(Sábado)2026/01/24	;467	;Disminuir por51.4%	; --%	;556	;Disminuir por54.0%	; --%	;7	;Disminuir por81.1%	; --%	;111	;Disminuir por55.6%	; --%	;7	;Disminuir por58.8%	; --%	;18	;Disminuir por90.3%	; --%	;
56	;(Domingo)2026/01/25	;590	;Disminuir por50.0%	; --%	;571	;Disminuir por64.5%	; --%	;9	;Disminuir por88.6%	; --%	;74	;Disminuir por78.4%	; --%	;6	;Disminuir por76.9%	; --%	;11	;Disminuir por93.5%	; --%	;
57	;(Lunes)2026/01/26	;279	;Disminuir por85.1%	; --%	;359	;Disminuir por84.9%	; --%	;17	;Sin cambios	; --%	;191	;Aumentar por27.3%	; --%	;13	;Disminuir por53.6%	; --%	;11	;Disminuir por94.4%	; --%	;
58	;(Martes)2026/01/27	;307	;Disminuir por78.1%	; --%	;351	;Disminuir por81.1%	; --%	;25	;Aumentar por47.1%	; --%	;197	;Aumentar por34.9%	; --%	;11	;Aumentar por22.2%	; --%	;15	;Disminuir por89.2%	; --%	;
59	;(Miércoles)2026/01/28	;213	;Disminuir por77.6%	; --%	;305	;Disminuir por76.5%	; --%	;28	;Disminuir por30.0%	; --%	;202	;Disminuir por21.7%	; --%	;7	;Disminuir por69.6%	; --%	;7	;Disminuir por95.6%	; --%	;
60	;(Jueves)2026/01/29	;318	;Disminuir por73.8%	; --%	;381	;Disminuir por74.4%	; --%	;20	;Disminuir por37.5%	; --%	;186	;Sin cambios	; --%	;18	;Disminuir por10.0%	; --%	;23	;Disminuir por86.1%	; --%	;
61	;(Viernes)2026/01/30	;385	;Disminuir por59.9%	; --%	;456	;Disminuir por65.6%	; --%	;21	;Disminuir por65.0%	; --%	;165	;Disminuir por45.2%	; --%	;29	;Aumentar por26.1%	; --%	;32	;Disminuir por81.0%	; --%	;
62	;(Sábado)2026/01/31	;374	;Disminuir por66.7%	; --%	;576	;Disminuir por60.9%	; --%	;14	;Disminuir por61.1%	; --%	;113	;Disminuir por56.0%	; --%	;2	;Disminuir por92.3%	; --%	;7	;Disminuir por96.3%	; --%	;
63	;(Domingo)2026/02/01	;503	;Disminuir por60.3%	; --%	;676	;Disminuir por57.9%	; --%	;8	;Disminuir por88.2%	; --%	;97	;Disminuir por68.5%	; --%	;8	;Disminuir por76.5%	; --%	;14	;Disminuir por92.9%	; --%	;
64	;(Lunes)2026/02/02	;238	;Disminuir por88.1%	; --%	;304	;Disminuir por88.0%	; --%	;7	;Disminuir por74.1%	; --%	;179	;Disminuir por17.5%	; --%	;9	;Disminuir por70.0%	; --%	;16	;Disminuir por90.5%	; --%	;
65	;(Martes)2026/02/03	;343	;Disminuir por81.4%	; --%	;418	;Disminuir por81.8%	; --%	;24	;Aumentar por20.0%	; --%	;190	;Aumentar por137.5%	; --%	;9	;Disminuir por52.6%	; --%	;14	;Disminuir por90.3%	; --%	;
66	;(Miércoles)2026/02/04	;221	;Disminuir por85.5%	; --%	;277	;Disminuir por85.7%	; --%	;13	;Disminuir por55.2%	; --%	;156	;Disminuir por31.3%	; --%	;8	;Disminuir por60.0%	; --%	;14	;Disminuir por92.3%	; --%	;
67	;(Jueves)2026/02/05	;287	;Disminuir por81.9%	; --%	;376	;Disminuir por80.2%	; --%	;12	;Disminuir por52.0%	; --%	;150	;Disminuir por27.2%	; --%	;6	;Disminuir por60.0%	; --%	;12	;Disminuir por93.5%	; --%	;
68	;(Viernes)2026/02/06	;341	;Disminuir por71.2%	; --%	;465	;Disminuir por64.8%	; --%	;19	;Disminuir por40.6%	; --%	;151	;Disminuir por25.6%	; --%	;25	;Aumentar por31.6%	; --%	;26	;Disminuir por80.9%	; --%	;
69	;(Sábado)2026/02/07	;558	; --%	; --%	;756	; --%	; --%	;8	; --%	; --%	;103	; --%	; --%	;12	; --%	; --%	;17	; --%	; --%	;
70	;(Domingo)2026/02/08	;366	;Disminuir por71.1%	; --%	;502	;Disminuir por69.2%	; --%	;4	;Disminuir por81.0%	; --%	;76	;Disminuir por50.0%	; --%	;7	;Disminuir por46.2%	; --%	;8	;Disminuir por93.4%	; --%	;
71	;(Lunes)2026/02/09	;356	;Disminuir por80.7%	; --%	;475	;Disminuir por80.7%	; --%	;25	;Aumentar por38.9%	; --%	;164	;Aumentar por5.1%	; --%	;11	;Disminuir por63.3%	; --%	;15	;Disminuir por91.2%	; --%	;
72	;(Martes)2026/02/10	;380	;Disminuir por72.4%	; --%	;412	;Disminuir por79.0%	; --%	;26	;Aumentar por23.8%	; --%	;163	;Aumentar por44.2%	; --%	;13	;Disminuir por45.8%	; --%	;17	;Disminuir por89.8%	; --%	;
73	;(Miércoles)2026/02/11	;321	;Disminuir por67.7%	; --%	;400	;Disminuir por69.4%	; --%	;13	;Disminuir por40.9%	; --%	;173	;Disminuir por19.5%	; --%	;15	;Disminuir por53.1%	; --%	;31	;Disminuir por83.0%	; --%	;
74	;(Jueves)2026/02/12	;240	;Disminuir por79.8%	; --%	;417	;Disminuir por73.7%	; --%	;22	;Disminuir por38.9%	; --%	;160	;Disminuir por27.3%	; --%	;7	;Disminuir por80.6%	; --%	;10	;Disminuir por95.3%	; --%	;
75	;(Viernes)2026/02/13	;331	;Disminuir por75.8%	; --%	;405	;Disminuir por77.2%	; --%	;27	;Disminuir por27.0%	; --%	;227	;Disminuir por10.3%	; --%	;2	;Disminuir por93.5%	; --%	;9	;Disminuir por95.5%	; --%	;
76	;(Sábado)2026/02/14	;258	;Disminuir por82.4%	; --%	;384	;Disminuir por80.1%	; --%	;8	;Disminuir por79.5%	; --%	;92	;Disminuir por62.1%	; --%	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por99.4%	; --%	;
77	;(Domingo)2026/02/15	;903	;Disminuir por48.1%	; --%	;1005	;Disminuir por52.2%	; --%	;7	;Disminuir por77.4%	; --%	;89	;Disminuir por62.4%	; --%	;5	;Disminuir por82.8%	; --%	;12	;Disminuir por94.2%	; --%	;
78	;(Lunes)2026/02/16	;413	;Disminuir por81.3%	; --%	;475	;Disminuir por83.2%	; --%	;24	;Disminuir por11.1%	; --%	;182	;Aumentar por5.2%	; --%	;20	;Aumentar por11.1%	; --%	;23	;Disminuir por84.7%	; --%	;
79	;(Martes)2026/02/17	;492	;Disminuir por74.6%	; --%	;623	;Disminuir por74.5%	; --%	;17	;Disminuir por29.2%	; --%	;167	;Aumentar por21.0%	; --%	;16	;Disminuir por30.4%	; --%	;22	;Disminuir por87.1%	; --%	;
80	;(Miércoles)2026/02/18	;469	;Disminuir por63.7%	; --%	;545	;Disminuir por68.4%	; --%	;18	;Disminuir por47.1%	; --%	;183	;Disminuir por20.1%	; --%	;15	;Disminuir por31.8%	; --%	;25	;Disminuir por86.5%	; --%	;
81	;(Jueves)2026/02/19	;386	;Disminuir por81.9%	; --%	;520	;Disminuir por81.0%	; --%	;22	;Disminuir por35.3%	; --%	;180	;Disminuir por24.1%	; --%	;14	;Disminuir por48.1%	; --%	;13	;Disminuir por93.7%	; --%	;
82	;(Viernes)2026/02/20	;738	;Disminuir por67.0%	; --%	;814	;Disminuir por72.0%	; --%	;21	;Disminuir por36.4%	; --%	;227	;Disminuir por6.2%	; --%	;20	;Aumentar por5.3%	; --%	;56	;Disminuir por40.4%	; --%	;
83	;(Sábado)2026/02/21	;1028	;Disminuir por37.6%	; --%	;1246	;Disminuir por41.4%	; --%	;21	;Disminuir por54.3%	; --%	;191	;Disminuir por24.2%	; --%	;10	;Disminuir por61.5%	; --%	;19	;Disminuir por89.0%	; --%	;
84	;(Domingo)2026/02/22	;886	;Disminuir por50.3%	; --%	;1105	;Disminuir por52.6%	; --%	;8	;Disminuir por84.3%	; --%	;104	;Disminuir por66.1%	; --%	;11	;Disminuir por67.6%	; --%	;17	;Disminuir por89.9%	; --%	;
85	;(Lunes)2026/02/23	;345	;Disminuir por83.7%	; --%	;438	;Disminuir por83.1%	; --%	;34	;Disminuir por90.7%	; --%	;227	;Disminuir por54.0%	; --%	;17	;Aumentar por13.3%	; --%	;17	;Disminuir por84.3%	; --%	;
86	;(Martes)2026/02/24	;465	;Disminuir por73.4%	; --%	;588	;Disminuir por76.1%	; --%	;17	;Disminuir por22.7%	; --%	;208	;Aumentar por52.9%	; --%	;24	;Sin cambios	; --%	;27	;Disminuir por84.1%	; --%	;
87	;(Miércoles)2026/02/25	;363	;Disminuir por74.0%	; --%	;465	;Disminuir por73.9%	; --%	;20	;Disminuir por44.4%	; --%	;167	;Disminuir por21.6%	; --%	;17	;Disminuir por43.3%	; --%	;26	;Disminuir por86.6%	; --%	;
88	;(Jueves)2026/02/26	;389	;Disminuir por78.6%	; --%	;430	;Disminuir por81.7%	; --%	;25	;Disminuir por46.8%	; --%	;175	;Disminuir por21.2%	; --%	;18	;Disminuir por50.0%	; --%	;46	;Disminuir por74.4%	; --%	;
89	;(Viernes)2026/02/27	;385	;Disminuir por79.7%	; --%	;425	;Disminuir por82.8%	; --%	;23	;Disminuir por28.1%	; --%	;121	;Disminuir por49.4%	; --%	;15	;Disminuir por44.4%	; --%	;8	;Disminuir por95.5%	; --%	;
90	;(Sábado)2026/02/28	;748	;Disminuir por55.7%	; --%	;786	;Disminuir por66.4%	; --%	;19	;Disminuir por58.7%	; --%	;91	;Disminuir por60.4%	; --%	;2	;Disminuir por91.3%	; --%	;3	;Disminuir por98.4%	; --%	;
91	;(Domingo)2026/03/01	;509	;Aumentar por350.4%	; --%	;613	;Aumentar por157.6%	; --%	;9	;Aumentar por350.0%	; --%	;51	;Aumentar por410.0%	; --%	;11	;Aumentar por1000.0%	; --%	;4	;Disminuir por88.2%	; --%	;
