N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
24	;(Miércoles)2025/12/24	;127	;Disminuir por18.1%	; --%	;137	;Disminuir por30.5%	; --%	;3	;Aumentar por200.0%	; --%	;12	;Aumentar por200.0%	; --%	;3	;Disminuir por66.7%	; --%	;9	;Disminuir por35.7%	; --%	;
25	;(Jueves)2025/12/25	;89	;Disminuir por52.9%	; --%	;160	;Disminuir por8.6%	; --%	;0	; --%	; --%	;9	; --%	; --%	;0	;Disminuir por100.0%	; --%	;3	;Disminuir por83.3%	; --%	;
26	;(Viernes)2025/12/26	;229	;Disminuir por11.9%	; --%	;396	;Aumentar por27.3%	; --%	;0	;Disminuir por100.0%	; --%	;7	;Aumentar por600.0%	; --%	;1	;Disminuir por88.9%	; --%	;3	;Disminuir por82.4%	; --%	;
27	;(Sábado)2025/12/27	;174	;Disminuir por13.4%	; --%	;253	;Disminuir por23.6%	; --%	;1	; --%	; --%	;7	;Aumentar por75.0%	; --%	;1	;Disminuir por87.5%	; --%	;3	;Disminuir por87.5%	; --%	;
28	;(Domingo)2025/12/28	;254	;Disminuir por38.8%	; --%	;303	;Disminuir por26.8%	; --%	;2	;Sin cambios	; --%	;54	;Aumentar por217.6%	; --%	;1	;Disminuir por83.3%	; --%	;11	;Disminuir por68.6%	; --%	;
29	;(Lunes)2025/12/29	;273	;Disminuir por49.1%	; --%	;337	;Disminuir por54.8%	; --%	;2	;Disminuir por87.5%	; --%	;81	;Aumentar por305.0%	; --%	;3	;Disminuir por76.9%	; --%	;21	;Disminuir por19.2%	; --%	;
30	;(Martes)2025/12/30	;289	;Disminuir por32.2%	; --%	;403	;Disminuir por22.2%	; --%	;0	;Disminuir por100.0%	; --%	;62	;Aumentar por1450.0%	; --%	;8	;Disminuir por33.3%	; --%	;34	;Aumentar por54.5%	; --%	;
31	;(Miércoles)2025/12/31	;244	;Aumentar por30.5%	; --%	;313	;Aumentar por51.2%	; --%	;6	;Aumentar por200.0%	; --%	;76	;Aumentar por484.6%	; --%	;3	;Disminuir por62.5%	; --%	;26	;Aumentar por4.0%	; --%	;
32	;(Jueves)2026/01/01	;271	;Aumentar por110.1%	; --%	;479	;Aumentar por85.7%	; --%	;0	; --%	; --%	;38	;Aumentar por245.5%	; --%	;2	;Disminuir por71.4%	; --%	;19	;Disminuir por5.0%	; --%	;
33	;(Viernes)2026/01/02	;295	;Aumentar por87.9%	; --%	;517	;Aumentar por179.5%	; --%	;0	;Disminuir por100.0%	; --%	;12	;Sin cambios	; --%	;4	;Disminuir por55.6%	; --%	;14	;Aumentar por7.7%	; --%	;
34	;(Sábado)2026/01/03	;299	;Aumentar por30.6%	; --%	;603	;Aumentar por159.9%	; --%	;0	;Disminuir por100.0%	; --%	;11	;Disminuir por57.7%	; --%	;3	;Disminuir por75.0%	; --%	;12	;Disminuir por52.0%	; --%	;
35	;(Domingo)2026/01/04	;167	;Disminuir por61.1%	; --%	;287	;Disminuir por37.6%	; --%	;0	;Disminuir por100.0%	; --%	;4	;Disminuir por66.7%	; --%	;1	;Disminuir por93.3%	; --%	;6	;Disminuir por75.0%	; --%	;
36	;(Lunes)2026/01/05	;77	;Disminuir por88.7%	; --%	;118	;Disminuir por86.3%	; --%	;1	; --%	; --%	;8	;Disminuir por11.1%	; --%	;1	;Disminuir por95.2%	; --%	;9	;Disminuir por52.6%	; --%	;
37	;(Martes)2026/01/06	;112	;Disminuir por74.7%	; --%	;206	;Disminuir por62.7%	; --%	;0	; --%	; --%	;8	;Aumentar por100.0%	; --%	;1	;Disminuir por94.4%	; --%	;4	;Disminuir por76.5%	; --%	;
38	;(Miércoles)2026/01/07	;91	;Disminuir por54.7%	; --%	;104	;Disminuir por58.1%	; --%	;0	;Disminuir por100.0%	; --%	;8	;Disminuir por33.3%	; --%	;4	;Disminuir por55.6%	; --%	;6	;Disminuir por60.0%	; --%	;
39	;(Jueves)2026/01/08	;84	;Disminuir por73.3%	; --%	;76	;Disminuir por69.5%	; --%	;0	;Disminuir por100.0%	; --%	;7	;Disminuir por22.2%	; --%	;2	;Disminuir por88.2%	; --%	;12	;Disminuir por36.8%	; --%	;
40	;(Viernes)2026/01/09	;89	;Disminuir por61.6%	; --%	;107	;Disminuir por53.3%	; --%	;3	;Aumentar por200.0%	; --%	;10	;Disminuir por60.0%	; --%	;1	;Disminuir por87.5%	; --%	;8	;Disminuir por65.2%	; --%	;
41	;(Sábado)2026/01/10	;126	;Disminuir por41.4%	; --%	;222	;Disminuir por13.3%	; --%	;1	;Disminuir por66.7%	; --%	;12	;Disminuir por57.1%	; --%	;3	;Disminuir por75.0%	; --%	;9	;Disminuir por40.0%	; --%	;
42	;(Domingo)2026/01/11	;96	;Disminuir por81.1%	; --%	;140	;Disminuir por74.5%	; --%	;0	;Disminuir por100.0%	; --%	;3	;Disminuir por87.0%	; --%	;1	;Disminuir por94.1%	; --%	;11	;Disminuir por63.3%	; --%	;
43	;(Lunes)2026/01/12	;81	;Disminuir por88.3%	; --%	;80	;Disminuir por90.1%	; --%	;1	; --%	; --%	;17	;Aumentar por466.7%	; --%	;1	;Disminuir por95.7%	; --%	;13	;Disminuir por50.0%	; --%	;
44	;(Martes)2026/01/13	;78	;Disminuir por82.6%	; --%	;105	;Disminuir por81.5%	; --%	;2	;Aumentar por100.0%	; --%	;18	;Aumentar por500.0%	; --%	;6	;Disminuir por40.0%	; --%	;12	;Disminuir por40.0%	; --%	;
45	;(Miércoles)2026/01/14	;360	;Aumentar por55.8%	; --%	;360	;Aumentar por25.9%	; --%	;4	;Sin cambios	; --%	;21	;Aumentar por61.5%	; --%	;32	;Aumentar por220.0%	; --%	;48	;Aumentar por84.6%	; --%	;
46	;(Jueves)2026/01/15	;83	;Disminuir por72.3%	; --%	;92	;Disminuir por67.3%	; --%	;0	;Disminuir por100.0%	; --%	;14	;Disminuir por46.2%	; --%	;2	;Disminuir por80.0%	; --%	;14	;Disminuir por39.1%	; --%	;
47	;(Viernes)2026/01/16	;88	;Disminuir por71.2%	; --%	;96	;Disminuir por68.6%	; --%	;1	;Disminuir por83.3%	; --%	;21	;Disminuir por22.2%	; --%	;3	;Disminuir por81.3%	; --%	;18	;Disminuir por18.2%	; --%	;
48	;(Sábado)2026/01/17	;71	;Disminuir por71.5%	; --%	;98	;Disminuir por67.8%	; --%	;2	;Sin cambios	; --%	;14	;Disminuir por30.0%	; --%	;4	;Disminuir por66.7%	; --%	;1	;Disminuir por96.6%	; --%	;
49	;(Domingo)2026/01/18	;69	;Disminuir por84.1%	; --%	;115	;Disminuir por79.5%	; --%	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por92.0%	; --%	;1	;Disminuir por93.8%	; --%	;2	;Disminuir por91.7%	; --%	;
50	;(Lunes)2026/01/19	;68	;Disminuir por89.5%	; --%	;65	;Disminuir por92.5%	; --%	;1	; --%	; --%	;15	;Sin cambios	; --%	;1	;Disminuir por93.8%	; --%	;10	;Disminuir por64.3%	; --%	;
51	;(Martes)2026/01/20	;56	;Disminuir por90.3%	; --%	;61	;Disminuir por92.7%	; --%	;1	;Sin cambios	; --%	;13	;Aumentar por333.3%	; --%	;0	;Disminuir por100.0%	; --%	;2	;Disminuir por90.9%	; --%	;
52	;(Miércoles)2026/01/21	;98	;Disminuir por74.7%	; --%	;106	;Disminuir por77.1%	; --%	;1	;Sin cambios	; --%	;23	;Aumentar por64.3%	; --%	;1	;Disminuir por87.5%	; --%	;7	;Disminuir por65.0%	; --%	;
53	;(Jueves)2026/01/22	;112	;Disminuir por79.4%	; --%	;77	;Disminuir por88.8%	; --%	;1	;Sin cambios	; --%	;9	;Disminuir por10.0%	; --%	;4	;Disminuir por75.0%	; --%	;15	;Disminuir por46.4%	; --%	;
54	;(Viernes)2026/01/23	;114	;Disminuir por72.4%	; --%	;112	;Disminuir por79.5%	; --%	;12	;Aumentar por200.0%	; --%	;27	;Aumentar por50.0%	; --%	;4	;Disminuir por75.0%	; --%	;12	;Disminuir por52.0%	; --%	;
55	;(Sábado)2026/01/24	;168	;Disminuir por55.2%	; --%	;394	;Aumentar por4.5%	; --%	;2	;Aumentar por100.0%	; --%	;13	;Disminuir por31.6%	; --%	;1	;Disminuir por93.3%	; --%	;36	;Aumentar por28.6%	; --%	;
