N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
32	;(Jueves)2026/01/01	;1364	;Aumentar por13.9%	; --%	;1239	;Aumentar por20.8%	; --%	;1121	;Disminuir por14.8%	; --%	;6	;Disminuir por83.3%	; --%	;151	;Disminuir por56.7%	; --%	;43	;Disminuir por4.4%	; --%	;
33	;(Viernes)2026/01/02	;1347	;Disminuir por2.1%	; --%	;1250	;Aumentar por13.7%	; --%	;1328	;Disminuir por12.4%	; --%	;12	;Aumentar por71.4%	; --%	;203	;Disminuir por43.1%	; --%	;56	;Aumentar por30.2%	; --%	;
34	;(Sábado)2026/01/03	;1275	;Disminuir por1.5%	; --%	;1226	;Aumentar por11.0%	; --%	;1203	;Disminuir por19.0%	; --%	;11	;Aumentar por83.3%	; --%	;189	;Disminuir por49.2%	; --%	;27	;Disminuir por52.6%	; --%	;
35	;(Domingo)2026/01/04	;671	;Disminuir por59.1%	; --%	;623	;Disminuir por57.6%	; --%	;912	;Disminuir por48.9%	; --%	;4	;Disminuir por50.0%	; --%	;44	;Disminuir por89.1%	; --%	;13	;Disminuir por75.9%	; --%	;
36	;(Lunes)2026/01/05	;1281	;Disminuir por55.3%	; --%	;1439	;Disminuir por40.8%	; --%	;1099	;Aumentar por1.6%	; --%	;7	;Disminuir por30.0%	; --%	;106	;Disminuir por70.5%	; --%	;31	;Disminuir por55.1%	; --%	;
37	;(Martes)2026/01/06	;496	;Disminuir por76.8%	; --%	;414	;Disminuir por79.4%	; --%	;890	;Disminuir por31.6%	; --%	;7	;Aumentar por40.0%	; --%	;101	;Disminuir por71.1%	; --%	;19	;Disminuir por58.7%	; --%	;
38	;(Miércoles)2026/01/07	;519	;Disminuir por72.8%	; --%	;432	;Disminuir por75.9%	; --%	;1065	;Disminuir por37.2%	; --%	;3	;Disminuir por57.1%	; --%	;155	;Disminuir por62.3%	; --%	;46	;Disminuir por23.3%	; --%	;
39	;(Jueves)2026/01/08	;651	;Disminuir por57.2%	; --%	;507	;Disminuir por62.2%	; --%	;1081	;Disminuir por31.3%	; --%	;2	;Sin cambios	; --%	;179	;Disminuir por56.9%	; --%	;45	;Disminuir por19.6%	; --%	;
40	;(Viernes)2026/01/09	;733	;Disminuir por48.5%	; --%	;609	;Disminuir por51.6%	; --%	;1098	;Disminuir por33.7%	; --%	;6	;Disminuir por50.0%	; --%	;199	;Disminuir por49.5%	; --%	;43	;Aumentar por19.4%	; --%	;
41	;(Sábado)2026/01/10	;989	;Disminuir por38.1%	; --%	;940	;Disminuir por28.9%	; --%	;829	;Disminuir por53.2%	; --%	;7	;Sin cambios	; --%	;167	;Disminuir por59.3%	; --%	;55	;Aumentar por19.6%	; --%	;
