N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
36	;(Lunes)2026/01/05	;1292	;Disminuir por86.5%	; --%	;1302	;Disminuir por87.2%	; --%	;356	;Aumentar por16.0%	; --%	;165	;Aumentar por7.1%	; --%	;77	;Disminuir por83.7%	; --%	;71	;Disminuir por79.9%	; --%	;
37	;(Martes)2026/01/06	;872	;Disminuir por88.8%	; --%	;907	;Disminuir por87.9%	; --%	;246	;Disminuir por14.0%	; --%	;123	;Disminuir por29.7%	; --%	;51	;Disminuir por89.4%	; --%	;38	;Disminuir por89.5%	; --%	;
38	;(Miércoles)2026/01/07	;655	;Disminuir por85.5%	; --%	;625	;Disminuir por85.4%	; --%	;334	;Disminuir por30.1%	; --%	;129	;Disminuir por43.7%	; --%	;105	;Disminuir por70.2%	; --%	;76	;Disminuir por67.9%	; --%	;
39	;(Jueves)2026/01/08	;738	;Disminuir por80.5%	; --%	;712	;Disminuir por80.2%	; --%	;373	;Disminuir por26.6%	; --%	;163	;Disminuir por36.8%	; --%	;135	;Disminuir por58.6%	; --%	;94	;Disminuir por53.0%	; --%	;
40	;(Viernes)2026/01/09	;945	;Disminuir por78.7%	; --%	;946	;Disminuir por77.8%	; --%	;446	;Disminuir por14.9%	; --%	;190	;Disminuir por18.5%	; --%	;155	;Disminuir por63.1%	; --%	;127	;Disminuir por54.2%	; --%	;
41	;(Sábado)2026/01/10	;1488	;Disminuir por71.8%	; --%	;1383	;Disminuir por72.8%	; --%	;257	;Disminuir por56.0%	; --%	;126	;Disminuir por55.8%	; --%	;136	;Disminuir por69.0%	; --%	;78	;Disminuir por77.8%	; --%	;
42	;(Domingo)2026/01/11	;1339	;Disminuir por78.7%	; --%	;1317	;Disminuir por80.2%	; --%	;227	;Disminuir por58.3%	; --%	;92	;Disminuir por62.9%	; --%	;107	;Disminuir por75.2%	; --%	;84	;Disminuir por74.0%	; --%	;
43	;(Lunes)2026/01/12	;605	;Disminuir por94.4%	; --%	;569	;Disminuir por95.2%	; --%	;419	;Aumentar por35.2%	; --%	;177	;Aumentar por45.1%	; --%	;131	;Disminuir por70.1%	; --%	;89	;Disminuir por75.6%	; --%	;
44	;(Martes)2026/01/13	;614	;Disminuir por93.2%	; --%	;576	;Disminuir por93.1%	; --%	;409	;Aumentar por76.3%	; --%	;169	;Aumentar por26.1%	; --%	;134	;Disminuir por69.8%	; --%	;69	;Disminuir por81.6%	; --%	;
45	;(Miércoles)2026/01/14	;595	;Disminuir por87.2%	; --%	;576	;Disminuir por87.7%	; --%	;420	;Disminuir por15.5%	; --%	;186	;Disminuir por24.1%	; --%	;118	;Disminuir por68.0%	; --%	;58	;Disminuir por81.1%	; --%	;
46	;(Jueves)2026/01/15	;584	;Disminuir por85.5%	; --%	;525	;Disminuir por86.8%	; --%	;419	;Disminuir por21.7%	; --%	;187	;Disminuir por25.2%	; --%	;159	;Disminuir por44.0%	; --%	;92	;Disminuir por54.5%	; --%	;
47	;(Viernes)2026/01/16	;678	;Disminuir por85.4%	; --%	;669	;Disminuir por85.3%	; --%	;428	;Disminuir por12.7%	; --%	;198	;Disminuir por2.9%	; --%	;140	;Disminuir por65.9%	; --%	;75	;Disminuir por73.8%	; --%	;
