N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
50	;(Lunes)2026/01/19	;288	;Disminuir por93.7%	; --%	;213	;Disminuir por94.2%	; --%	;172	;Aumentar por2.4%	; --%	;4	;Disminuir por73.3%	; --%	;23	;Disminuir por81.1%	; --%	;0	;Disminuir por100.0%	; --%	;
51	;(Martes)2026/01/20	;263	;Disminuir por95.3%	; --%	;147	;Disminuir por96.5%	; --%	;162	;Aumentar por63.6%	; --%	;4	;Disminuir por55.6%	; --%	;10	;Disminuir por91.9%	; --%	;0	;Disminuir por100.0%	; --%	;
52	;(Miércoles)2026/01/21	;323	;Disminuir por89.8%	; --%	;282	;Disminuir por86.7%	; --%	;164	;Disminuir por21.5%	; --%	;0	;Disminuir por100.0%	; --%	;24	;Disminuir por82.1%	; --%	;3	;Disminuir por72.7%	; --%	;
53	;(Jueves)2026/01/22	;582	;Disminuir por79.5%	; --%	;419	;Disminuir por79.5%	; --%	;483	;Aumentar por121.6%	; --%	;303	;Aumentar por2425.0%	; --%	;32	;Disminuir por76.3%	; --%	;1	;Disminuir por94.7%	; --%	;
54	;(Viernes)2026/01/23	;402	;Disminuir por87.7%	; --%	;337	;Disminuir por84.7%	; --%	;204	;Disminuir por10.1%	; --%	;18	;Aumentar por63.6%	; --%	;24	;Disminuir por82.2%	; --%	;5	;Disminuir por78.3%	; --%	;
55	;(Sábado)2026/01/24	;1143	;Disminuir por58.7%	; --%	;697	;Disminuir por60.5%	; --%	;115	;Disminuir por50.0%	; --%	;2	;Disminuir por90.9%	; --%	;42	;Disminuir por70.6%	; --%	;13	;Disminuir por27.8%	; --%	;
56	;(Domingo)2026/01/25	;1056	;Disminuir por68.8%	; --%	;897	;Disminuir por59.3%	; --%	;77	;Disminuir por73.9%	; --%	;6	;Disminuir por57.1%	; --%	;35	;Disminuir por72.4%	; --%	;24	;Aumentar por41.2%	; --%	;
57	;(Lunes)2026/01/26	;399	;Disminuir por92.6%	; --%	;278	;Disminuir por91.6%	; --%	;200	;Aumentar por7.0%	; --%	;3	;Disminuir por92.9%	; --%	;25	;Disminuir por83.9%	; --%	;7	;Disminuir por61.1%	; --%	;
58	;(Martes)2026/01/27	;334	;Disminuir por90.7%	; --%	;297	;Disminuir por88.6%	; --%	;203	;Aumentar por44.0%	; --%	;7	;Aumentar por16.7%	; --%	;40	;Disminuir por63.6%	; --%	;5	;Disminuir por76.2%	; --%	;
59	;(Miércoles)2026/01/28	;328	;Disminuir por89.2%	; --%	;265	;Disminuir por84.6%	; --%	;214	;Disminuir por23.0%	; --%	;4	;Disminuir por93.0%	; --%	;22	;Disminuir por82.3%	; --%	;2	;Disminuir por86.7%	; --%	;
60	;(Jueves)2026/01/29	;511	;Disminuir por83.0%	; --%	;328	;Disminuir por82.6%	; --%	;195	;Aumentar por3.2%	; --%	;4	;Disminuir por77.8%	; --%	;32	;Disminuir por77.1%	; --%	;11	;Disminuir por47.6%	; --%	;
61	;(Viernes)2026/01/30	;791	;Disminuir por72.2%	; --%	;438	;Disminuir por77.6%	; --%	;204	;Disminuir por27.9%	; --%	;2	;Disminuir por93.3%	; --%	;40	;Disminuir por72.2%	; --%	;3	;Disminuir por85.0%	; --%	;
62	;(Sábado)2026/01/31	;1298	;Disminuir por58.5%	; --%	;859	;Disminuir por58.3%	; --%	;124	;Disminuir por61.3%	; --%	;1	;Disminuir por98.9%	; --%	;27	;Disminuir por81.0%	; --%	;6	;Disminuir por53.8%	; --%	;
63	;(Domingo)2026/02/01	;1317	;Disminuir por64.2%	; --%	;809	;Disminuir por63.9%	; --%	;95	;Disminuir por65.9%	; --%	;1	;Disminuir por95.7%	; --%	;32	;Disminuir por77.3%	; --%	;6	;Disminuir por66.7%	; --%	;
64	;(Lunes)2026/02/02	;382	;Disminuir por93.5%	; --%	;308	;Disminuir por91.9%	; --%	;185	;Disminuir por27.2%	; --%	;3	;Disminuir por94.4%	; --%	;30	;Disminuir por76.6%	; --%	;3	;Disminuir por88.5%	; --%	;
65	;(Martes)2026/02/03	;541	;Disminuir por89.5%	; --%	;340	;Disminuir por89.9%	; --%	;207	;Aumentar por213.6%	; --%	;5	;Aumentar por150.0%	; --%	;44	;Disminuir por60.4%	; --%	;6	;Disminuir por66.7%	; --%	;
66	;(Miércoles)2026/02/04	;428	;Disminuir por89.0%	; --%	;366	;Disminuir por86.8%	; --%	;191	;Disminuir por43.2%	; --%	;6	;Disminuir por95.0%	; --%	;40	;Disminuir por71.2%	; --%	;6	;Disminuir por68.4%	; --%	;
67	;(Jueves)2026/02/05	;506	;Disminuir por89.5%	; --%	;297	;Disminuir por90.7%	; --%	;194	;Disminuir por4.0%	; --%	;11	;Aumentar por22.2%	; --%	;33	;Disminuir por74.6%	; --%	;8	;Disminuir por46.7%	; --%	;
68	;(Viernes)2026/02/06	;763	;Disminuir por83.7%	; --%	;505	;Disminuir por83.0%	; --%	;188	;Disminuir por21.3%	; --%	;3	;Disminuir por94.1%	; --%	;56	;Disminuir por54.8%	; --%	;10	;Disminuir por44.4%	; --%	;
69	;(Sábado)2026/02/07	;1449	;Disminuir por68.0%	; --%	;1002	;Disminuir por67.1%	; --%	;120	;Disminuir por57.3%	; --%	;1	;Disminuir por98.2%	; --%	;47	;Disminuir por69.3%	; --%	;6	;Disminuir por79.3%	; --%	;
70	;(Domingo)2026/02/08	;1743	;Disminuir por63.3%	; --%	;1215	;Disminuir por59.4%	; --%	;88	;Disminuir por63.0%	; --%	;1	;Disminuir por97.8%	; --%	;34	;Disminuir por75.9%	; --%	;7	;Disminuir por56.3%	; --%	;
71	;(Lunes)2026/02/09	;528	;Disminuir por91.1%	; --%	;347	;Disminuir por91.4%	; --%	;177	;Disminuir por6.8%	; --%	;2	;Disminuir por94.4%	; --%	;48	;Disminuir por57.9%	; --%	;7	;Disminuir por68.2%	; --%	;
72	;(Martes)2026/02/10	;649	;Disminuir por85.9%	; --%	;450	;Disminuir por85.9%	; --%	;163	;Aumentar por49.5%	; --%	;0	;Disminuir por100.0%	; --%	;46	;Disminuir por65.4%	; --%	;12	;Disminuir por14.3%	; --%	;
73	;(Miércoles)2026/02/11	;614	;Disminuir por81.0%	; --%	;422	;Disminuir por79.0%	; --%	;194	;Disminuir por35.8%	; --%	;2	;Disminuir por97.8%	; --%	;67	;Disminuir por52.1%	; --%	;7	;Disminuir por30.0%	; --%	;
