N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
23	;(Martes)2025/12/23	;81	;Disminuir por12.0%	; --%	;43	;Disminuir por43.4%	; --%	;2412	;Aumentar por23.4%	; --%	;1767	;Aumentar por1.7%	; --%	;238	;Disminuir por34.4%	; --%	;200	;Disminuir por27.8%	; --%	;
24	;(Miércoles)2025/12/24	;73	;Disminuir por16.1%	; --%	;45	;Disminuir por30.8%	; --%	;2094	;Disminuir por25.4%	; --%	;1311	;Disminuir por46.3%	; --%	;204	;Disminuir por54.3%	; --%	;158	;Disminuir por56.0%	; --%	;
25	;(Jueves)2025/12/25	;25	;Disminuir por76.2%	; --%	;21	;Disminuir por74.1%	; --%	;1330	;Disminuir por50.8%	; --%	;1039	;Disminuir por55.3%	; --%	;21	;Disminuir por96.3%	; --%	;13	;Disminuir por96.3%	; --%	;
26	;(Viernes)2025/12/26	;31	;Disminuir por73.0%	; --%	;25	;Disminuir por72.2%	; --%	;2016	;Disminuir por30.9%	; --%	;1505	;Disminuir por37.8%	; --%	;49	;Disminuir por88.0%	; --%	;34	;Disminuir por90.5%	; --%	;
27	;(Sábado)2025/12/27	;10	;Disminuir por90.2%	; --%	;6	;Disminuir por92.9%	; --%	;1572	;Disminuir por45.6%	; --%	;1138	;Disminuir por55.1%	; --%	;30	;Disminuir por93.3%	; --%	;20	;Disminuir por95.2%	; --%	;
28	;(Domingo)2025/12/28	;36	;Disminuir por68.7%	; --%	;22	;Disminuir por79.2%	; --%	;1290	;Disminuir por58.6%	; --%	;992	;Disminuir por63.0%	; --%	;59	;Disminuir por86.9%	; --%	;38	;Disminuir por89.1%	; --%	;
29	;(Lunes)2025/12/29	;35	;Disminuir por62.8%	; --%	;30	;Disminuir por64.3%	; --%	;2168	;Disminuir por18.2%	; --%	;1513	;Disminuir por36.5%	; --%	;128	;Disminuir por73.5%	; --%	;91	;Disminuir por75.6%	; --%	;
30	;(Martes)2025/12/30	;74	;Disminuir por32.7%	; --%	;38	;Disminuir por63.1%	; --%	;2449	;Aumentar por26.6%	; --%	;1613	;Disminuir por10.8%	; --%	;277	;Disminuir por42.4%	; --%	;224	;Disminuir por30.0%	; --%	;
31	;(Miércoles)2025/12/31	;73	;Disminuir por38.1%	; --%	;52	;Disminuir por46.9%	; --%	;2187	;Disminuir por22.9%	; --%	;1411	;Disminuir por40.6%	; --%	;240	;Disminuir por51.1%	; --%	;185	;Disminuir por54.0%	; --%	;
32	;(Jueves)2026/01/01	;83	;Disminuir por23.1%	; --%	;37	;Disminuir por62.6%	; --%	;1454	;Disminuir por48.0%	; --%	;1075	;Disminuir por54.4%	; --%	;143	;Disminuir por68.0%	; --%	;134	;Disminuir por61.0%	; --%	;
33	;(Viernes)2026/01/02	;83	;Disminuir por37.6%	; --%	;44	;Disminuir por60.7%	; --%	;2342	;Disminuir por19.4%	; --%	;1723	;Disminuir por29.9%	; --%	;221	;Disminuir por54.5%	; --%	;220	;Disminuir por48.1%	; --%	;
34	;(Sábado)2026/01/03	;79	;Disminuir por21.8%	; --%	;45	;Disminuir por53.6%	; --%	;2071	;Disminuir por30.6%	; --%	;1714	;Disminuir por31.8%	; --%	;249	;Disminuir por41.3%	; --%	;209	;Disminuir por43.7%	; --%	;
35	;(Domingo)2026/01/04	;18	;Disminuir por80.2%	; --%	;14	;Disminuir por84.4%	; --%	;1258	;Disminuir por59.4%	; --%	;1052	;Disminuir por60.3%	; --%	;57	;Disminuir por88.5%	; --%	;37	;Disminuir por90.0%	; --%	;
36	;(Lunes)2026/01/05	;67	;Disminuir por43.2%	; --%	;50	;Disminuir por51.9%	; --%	;2144	;Disminuir por20.4%	; --%	;1542	;Disminuir por33.8%	; --%	;132	;Disminuir por71.4%	; --%	;137	;Disminuir por63.2%	; --%	;
37	;(Martes)2026/01/06	;42	;Disminuir por60.0%	; --%	;23	;Disminuir por77.0%	; --%	;1244	;Disminuir por35.4%	; --%	;886	;Disminuir por49.9%	; --%	;98	;Disminuir por73.9%	; --%	;74	;Disminuir por76.0%	; --%	;
38	;(Miércoles)2026/01/07	;86	;Disminuir por21.8%	; --%	;57	;Disminuir por44.1%	; --%	;2420	;Disminuir por18.0%	; --%	;1455	;Disminuir por42.6%	; --%	;207	;Disminuir por57.0%	; --%	;180	;Disminuir por50.3%	; --%	;
39	;(Jueves)2026/01/08	;64	;Disminuir por43.4%	; --%	;49	;Disminuir por46.2%	; --%	;2328	;Disminuir por19.0%	; --%	;1564	;Disminuir por37.8%	; --%	;233	;Disminuir por54.8%	; --%	;199	;Disminuir por46.9%	; --%	;
40	;(Viernes)2026/01/09	;87	;Disminuir por14.7%	; --%	;67	;Disminuir por35.0%	; --%	;2385	;Disminuir por18.8%	; --%	;1525	;Disminuir por40.3%	; --%	;321	;Disminuir por39.2%	; --%	;294	;Disminuir por22.6%	; --%	;
41	;(Sábado)2026/01/10	;87	;Disminuir por17.9%	; --%	;50	;Disminuir por47.9%	; --%	;1759	;Disminuir por42.3%	; --%	;1224	;Disminuir por50.9%	; --%	;214	;Disminuir por51.3%	; --%	;174	;Disminuir por48.5%	; --%	;
42	;(Domingo)2026/01/11	;112	;Aumentar por4.7%	; --%	;68	;Disminuir por20.9%	; --%	;1238	;Disminuir por62.3%	; --%	;804	;Disminuir por70.6%	; --%	;212	;Disminuir por61.0%	; --%	;179	;Disminuir por53.4%	; --%	;
43	;(Lunes)2026/01/12	;89	;Disminuir por23.3%	; --%	;42	;Disminuir por58.4%	; --%	;2386	;Disminuir por19.7%	; --%	;1512	;Disminuir por43.1%	; --%	;274	;Disminuir por48.9%	; --%	;210	;Disminuir por45.6%	; --%	;
44	;(Martes)2026/01/13	;88	;Disminuir por27.9%	; --%	;58	;Disminuir por46.3%	; --%	;2400	;Aumentar por9.3%	; --%	;1557	;Disminuir por21.7%	; --%	;279	;Disminuir por42.4%	; --%	;223	;Disminuir por43.8%	; --%	;
45	;(Miércoles)2026/01/14	;83	;Disminuir por33.1%	; --%	;75	;Disminuir por16.7%	; --%	;2293	;Disminuir por34.6%	; --%	;1509	;Disminuir por49.1%	; --%	;288	;Disminuir por49.7%	; --%	;214	;Disminuir por53.9%	; --%	;
46	;(Jueves)2026/01/15	;86	;Disminuir por24.6%	; --%	;60	;Disminuir por40.6%	; --%	;2358	;Disminuir por22.3%	; --%	;1405	;Disminuir por46.1%	; --%	;276	;Disminuir por46.4%	; --%	;244	;Disminuir por37.4%	; --%	;
47	;(Viernes)2026/01/16	;91	;Disminuir por15.7%	; --%	;54	;Disminuir por40.7%	; --%	;2403	;Disminuir por20.4%	; --%	;1576	;Disminuir por39.3%	; --%	;272	;Disminuir por51.9%	; --%	;220	;Disminuir por48.6%	; --%	;
48	;(Sábado)2026/01/17	;33	;Disminuir por70.3%	; --%	;25	;Disminuir por74.2%	; --%	;1516	;Disminuir por51.4%	; --%	;1222	;Disminuir por54.2%	; --%	;65	;Disminuir por88.2%	; --%	;44	;Disminuir por89.2%	; --%	;
49	;(Domingo)2026/01/18	;80	;Disminuir por32.2%	; --%	;54	;Disminuir por43.2%	; --%	;1210	;Disminuir por63.5%	; --%	;924	;Disminuir por68.1%	; --%	;176	;Disminuir por70.1%	; --%	;165	;Disminuir por62.9%	; --%	;
50	;(Lunes)2026/01/19	;71	;Disminuir por44.1%	; --%	;32	;Disminuir por71.4%	; --%	;2333	;Disminuir por29.2%	; --%	;1707	;Disminuir por44.2%	; --%	;178	;Disminuir por71.3%	; --%	;141	;Disminuir por70.2%	; --%	;
