N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
25	;(Jueves)2025/12/25	;724	;Disminuir por14.8%	; --%	;642	;Disminuir por11.4%	; --%	;897	;Aumentar por0.2%	; --%	;731	;Aumentar por4.1%	; --%	;13	;Disminuir por95.5%	; --%	;6	;Disminuir por96.8%	; --%	;
26	;(Viernes)2025/12/26	;811	;Disminuir por1.9%	; --%	;570	;Disminuir por13.5%	; --%	;1065	;Aumentar por5.0%	; --%	;801	;Aumentar por7.8%	; --%	;51	;Disminuir por78.1%	; --%	;31	;Disminuir por80.6%	; --%	;
27	;(Sábado)2025/12/27	;570	;Disminuir por33.7%	; --%	;371	;Disminuir por53.8%	; --%	;1140	;Aumentar por5.1%	; --%	;860	;Aumentar por16.2%	; --%	;14	;Disminuir por94.9%	; --%	;5	;Disminuir por97.2%	; --%	;
28	;(Domingo)2025/12/28	;1103	;Disminuir por16.6%	; --%	;717	;Disminuir por29.6%	; --%	;1204	;Disminuir por7.0%	; --%	;849	;Aumentar por1.2%	; --%	;56	;Disminuir por81.1%	; --%	;44	;Disminuir por79.7%	; --%	;
29	;(Lunes)2025/12/29	;825	;Disminuir por56.1%	; --%	;502	;Disminuir por62.3%	; --%	;1402	;Aumentar por13.2%	; --%	;945	;Aumentar por23.4%	; --%	;66	;Disminuir por80.0%	; --%	;54	;Disminuir por79.9%	; --%	;
30	;(Martes)2025/12/30	;1299	;Aumentar por0.2%	; --%	;830	;Disminuir por19.7%	; --%	;1244	;Aumentar por14.0%	; --%	;862	;Aumentar por11.4%	; --%	;187	;Disminuir por36.0%	; --%	;121	;Disminuir por48.9%	; --%	;
31	;(Miércoles)2025/12/31	;1203	;Aumentar por55.6%	; --%	;748	;Aumentar por3.5%	; --%	;1017	;Disminuir por19.7%	; --%	;817	;Disminuir por12.1%	; --%	;188	;Disminuir por40.5%	; --%	;131	;Disminuir por46.3%	; --%	;
32	;(Jueves)2026/01/01	;2140	;Aumentar por167.5%	; --%	;2047	;Aumentar por257.2%	; --%	;1321	;Aumentar por40.2%	; --%	;821	;Aumentar por19.3%	; --%	;138	;Disminuir por47.3%	; --%	;118	;Disminuir por39.2%	; --%	;
33	;(Viernes)2026/01/02	;988	;Aumentar por42.8%	; --%	;672	;Aumentar por32.0%	; --%	;1156	;Aumentar por17.1%	; --%	;738	;Disminuir por0.9%	; --%	;144	;Disminuir por34.8%	; --%	;78	;Disminuir por62.5%	; --%	;
34	;(Sábado)2026/01/03	;1147	;Aumentar por54.8%	; --%	;713	;Aumentar por29.6%	; --%	;1026	;Disminuir por6.3%	; --%	;662	;Disminuir por13.1%	; --%	;135	;Disminuir por50.9%	; --%	;111	;Disminuir por36.9%	; --%	;
35	;(Domingo)2026/01/04	;642	;Disminuir por47.7%	; --%	;473	;Disminuir por48.2%	; --%	;722	;Disminuir por33.9%	; --%	;565	;Disminuir por36.2%	; --%	;34	;Disminuir por89.7%	; --%	;18	;Disminuir por92.7%	; --%	;
36	;(Lunes)2026/01/05	;1390	;Disminuir por24.2%	; --%	;909	;Disminuir por26.3%	; --%	;798	;Disminuir por35.9%	; --%	;610	;Disminuir por2.6%	; --%	;75	;Disminuir por77.7%	; --%	;55	;Disminuir por77.0%	; --%	;
37	;(Martes)2026/01/06	;547	;Disminuir por66.5%	; --%	;559	;Disminuir por51.7%	; --%	;821	;Disminuir por34.2%	; --%	;690	;Disminuir por18.9%	; --%	;79	;Disminuir por75.2%	; --%	;52	;Disminuir por79.5%	; --%	;
38	;(Miércoles)2026/01/07	;365	;Disminuir por56.5%	; --%	;286	;Disminuir por51.8%	; --%	;614	;Disminuir por50.3%	; --%	;472	;Disminuir por46.5%	; --%	;116	;Disminuir por58.9%	; --%	;80	;Disminuir por64.0%	; --%	;
39	;(Jueves)2026/01/08	;239	;Disminuir por72.4%	; --%	;229	;Disminuir por70.2%	; --%	;633	;Disminuir por41.2%	; --%	;510	;Disminuir por31.8%	; --%	;162	;Disminuir por44.1%	; --%	;111	;Disminuir por52.4%	; --%	;
40	;(Viernes)2026/01/09	;371	;Disminuir por62.9%	; --%	;268	;Disminuir por63.4%	; --%	;680	;Disminuir por43.5%	; --%	;554	;Disminuir por35.7%	; --%	;125	;Disminuir por53.2%	; --%	;106	;Disminuir por39.8%	; --%	;
41	;(Sábado)2026/01/10	;566	;Disminuir por43.2%	; --%	;382	;Disminuir por48.2%	; --%	;720	;Disminuir por38.7%	; --%	;526	;Disminuir por42.6%	; --%	;158	;Disminuir por46.8%	; --%	;100	;Disminuir por59.5%	; --%	;
42	;(Domingo)2026/01/11	;468	;Disminuir por58.9%	; --%	;435	;Disminuir por42.9%	; --%	;681	;Disminuir por48.2%	; --%	;477	;Disminuir por36.6%	; --%	;162	;Disminuir por53.2%	; --%	;142	;Disminuir por54.5%	; --%	;
