N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
23	;(Martes)2025/12/23	;679	;Disminuir por65.8%	; --%	;667	;Disminuir por70.2%	; --%	;1707	;Disminuir por15.7%	; --%	;1958	;Disminuir por14.6%	; --%	;158	;Disminuir por58.9%	; --%	;205	;Disminuir por47.0%	; --%	;
24	;(Miércoles)2025/12/24	;745	;Disminuir por44.4%	; --%	;828	;Disminuir por38.9%	; --%	;1507	;Disminuir por20.1%	; --%	;1728	;Disminuir por13.6%	; --%	;194	;Disminuir por62.9%	; --%	;206	;Disminuir por60.4%	; --%	;
25	;(Jueves)2025/12/25	;503	;Disminuir por56.5%	; --%	;495	;Disminuir por57.9%	; --%	;1248	;Disminuir por25.4%	; --%	;1403	;Disminuir por22.3%	; --%	;30	;Disminuir por92.7%	; --%	;34	;Disminuir por91.3%	; --%	;
26	;(Viernes)2025/12/26	;790	;Disminuir por21.5%	; --%	;869	;Disminuir por16.7%	; --%	;1827	;Aumentar por2.0%	; --%	;2012	;Aumentar por6.2%	; --%	;66	;Disminuir por81.9%	; --%	;71	;Disminuir por81.6%	; --%	;
27	;(Sábado)2025/12/27	;545	;Disminuir por53.7%	; --%	;625	;Disminuir por50.4%	; --%	;1726	;Disminuir por10.0%	; --%	;2068	;Aumentar por6.9%	; --%	;16	;Disminuir por96.4%	; --%	;20	;Disminuir por95.4%	; --%	;
28	;(Domingo)2025/12/28	;977	;Disminuir por39.7%	; --%	;1189	;Disminuir por30.1%	; --%	;2076	;Disminuir por18.3%	; --%	;2632	;Aumentar por1.6%	; --%	;72	;Disminuir por85.1%	; --%	;86	;Disminuir por83.1%	; --%	;
29	;(Lunes)2025/12/29	;953	;Disminuir por60.2%	; --%	;1075	;Disminuir por59.0%	; --%	;7893	;Aumentar por200.1%	; --%	;8384	;Aumentar por218.1%	; --%	;134	;Disminuir por78.9%	; --%	;155	;Disminuir por78.0%	; --%	;
30	;(Martes)2025/12/30	;1328	;Disminuir por34.7%	; --%	;1609	;Disminuir por25.0%	; --%	;23454	;Aumentar por1036.3%	; --%	;23892	;Aumentar por924.1%	; --%	;318	;Disminuir por28.2%	; --%	;336	;Disminuir por28.4%	; --%	;
31	;(Miércoles)2025/12/31	;1315	;Disminuir por29.9%	; --%	;1473	;Disminuir por13.4%	; --%	;3087	;Aumentar por58.9%	; --%	;3258	;Aumentar por58.4%	; --%	;281	;Disminuir por49.6%	; --%	;300	;Disminuir por49.8%	; --%	;
32	;(Jueves)2026/01/01	;1553	;Aumentar por35.9%	; --%	;2101	;Aumentar por112.4%	; --%	;3778	;Aumentar por107.7%	; --%	;4386	;Aumentar por124.9%	; --%	;181	;Disminuir por48.9%	; --%	;208	;Disminuir por47.1%	; --%	;
