N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
28	;06/02 03:00 - 04:00	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	; --%	;
29	;06/02 04:00 - 05:00	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
30	;06/02 05:00 - 06:00	;1	; --%	;Sin cambios	;2	; --%	;Disminuir por33.3%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
31	;06/02 06:00 - 07:00	;6	; --%	;Disminuir por33.3%	;8	; --%	;Disminuir por27.3%	;1	; --%	; --%	;3	; --%	;Aumentar por200.0%	;0	; --%	; --%	;2	; --%	;Disminuir por33.3%	;
32	;06/02 07:00 - 08:00	;6	;Disminuir por25.0%	;Disminuir por62.5%	;19	;Aumentar por171.4%	;Disminuir por20.8%	;1	;Disminuir por50.0%	;Sin cambios	;4	;Disminuir por55.6%	;Disminuir por42.9%	;0	; --%	;Disminuir por100.0%	;4	; --%	;Disminuir por42.9%	;
33	;06/02 08:00 - 09:00	;11	;Aumentar por37.5%	;Sin cambios	;33	;Aumentar por106.3%	;Disminuir por21.4%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;11	;Aumentar por22.2%	;Disminuir por52.2%	;1	; --%	; --%	;7	; --%	;Disminuir por12.5%	;
34	;06/02 09:00 - 10:00	;39	;Aumentar por680.0%	;Aumentar por14.7%	;28	;Aumentar por154.5%	;Disminuir por26.3%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;30	;Aumentar por328.6%	;Aumentar por57.9%	;7	;Aumentar por133.3%	;Aumentar por75.0%	;19	;Aumentar por533.3%	;Aumentar por111.1%	;
35	;06/02 10:00 - 11:00	;121	;Aumentar por476.2%	;Aumentar por47.6%	;79	;Aumentar por216.0%	;Aumentar por38.6%	;6	;Aumentar por50.0%	; --%	;29	;Aumentar por123.1%	;Aumentar por38.1%	;3	; --%	;Disminuir por40.0%	;5	;Aumentar por400.0%	;Sin cambios	;
36	;06/02 11:00 - 12:00	;91	;Aumentar por31.9%	;Disminuir por44.2%	;134	;Aumentar por157.7%	;Disminuir por20.7%	;0	;Disminuir por100.0%	; --%	;22	;Aumentar por29.4%	;Aumentar por15.8%	;4	; --%	; --%	;12	;Aumentar por100.0%	;Aumentar por300.0%	;
37	;06/02 12:00 - 13:00	;51	;Aumentar por30.8%	;Disminuir por21.5%	;71	;Aumentar por18.3%	;Aumentar por14.5%	;1	;Disminuir por66.7%	;Sin cambios	;11	;Disminuir por35.3%	;Disminuir por15.4%	;0	;Disminuir por100.0%	; --%	;15	;Aumentar por114.3%	;Aumentar por114.3%	;
38	;06/02 13:00 - 14:00	;53	;Aumentar por96.3%	;Disminuir por8.6%	;72	;Aumentar por89.5%	;Aumentar por33.3%	;2	; --%	;Sin cambios	;21	;Aumentar por110.0%	;Aumentar por31.3%	;2	;Sin cambios	; --%	;8	;Aumentar por14.3%	;Aumentar por60.0%	;
39	;06/02 14:00 - 15:00	;65	;Aumentar por91.2%	;Aumentar por18.2%	;57	;Aumentar por96.6%	;Disminuir por1.7%	;1	; --%	;Sin cambios	;16	;Sin cambios	;Sin cambios	;3	;Aumentar por200.0%	;Disminuir por25.0%	;6	;Aumentar por50.0%	;Disminuir por57.1%	;
40	;06/02 15:00 - 16:00	;54	;Aumentar por116.0%	;Disminuir por26.0%	;60	;Aumentar por150.0%	;Aumentar por15.4%	;1	;Disminuir por75.0%	;Disminuir por80.0%	;11	;Disminuir por26.7%	;Disminuir por47.6%	;1	; --%	;Sin cambios	;12	;Aumentar por1100.0%	;Aumentar por9.1%	;
