Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/11 10:04:29	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Mayor - Baluarte Del Principe	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
331870	;Aumentar por39.9%	;Disminuir por38.7%	;247340	;Aumentar por41.5%	;Disminuir por35.7%	;17423	;Disminuir por34.7%	;Disminuir por13.5%	;3945	;Disminuir por56.2%	;Aumentar por13.8%	;10821	;Aumentar por61.1%	;Disminuir por17.3%	;2776	;Aumentar por97.0%	;Aumentar por29.4%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
28	;06/02 03:00 - 04:00	;0	; --%	;Disminuir por100.0%	;2	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
29	;06/02 04:00 - 05:00	;2	; --%	;Aumentar por100.0%	;0	; --%	;Disminuir por100.0%	;2	; --%	; --%	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
30	;06/02 05:00 - 06:00	;0	;Disminuir por100.0%	; --%	;1	;Disminuir por66.7%	;Sin cambios	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
31	;06/02 06:00 - 07:00	;4	;Aumentar por300.0%	;Aumentar por300.0%	;1	;Sin cambios	;Disminuir por50.0%	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
32	;06/02 07:00 - 08:00	;11	;Aumentar por120.0%	;Aumentar por83.3%	;15	;Aumentar por650.0%	;Aumentar por400.0%	;6	;Disminuir por25.0%	;Disminuir por50.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;4	;Aumentar por300.0%	;Sin cambios	;0	; --%	; --%	;
33	;06/02 08:00 - 09:00	;22	;Aumentar por214.3%	;Aumentar por46.7%	;26	;Aumentar por160.0%	;Aumentar por23.8%	;18	;Aumentar por5.9%	;Disminuir por14.3%	;2	;Aumentar por100.0%	; --%	;4	;Aumentar por100.0%	;Disminuir por20.0%	;0	; --%	;Disminuir por100.0%	;
34	;06/02 09:00 - 10:00	;69	;Aumentar por590.0%	;Aumentar por97.1%	;50	;Aumentar por284.6%	;Aumentar por66.7%	;31	;Aumentar por47.6%	;Aumentar por40.9%	;6	;Aumentar por500.0%	;Aumentar por500.0%	;5	;Disminuir por16.7%	;Sin cambios	;1	; --%	; --%	;
35	;06/02 10:00 - 11:00	;208	;Aumentar por90.8%	;Disminuir por30.2%	;64	;Aumentar por204.8%	;Disminuir por31.2%	;39	;Aumentar por62.5%	;Aumentar por50.0%	;5	;Aumentar por150.0%	; --%	;13	;Aumentar por225.0%	;Aumentar por8.3%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
36	;06/02 11:00 - 12:00	;194	;Aumentar por13.5%	;Disminuir por2.0%	;89	;Aumentar por15.6%	;Disminuir por4.3%	;21	;Aumentar por31.3%	;Aumentar por10.5%	;0	;Disminuir por100.0%	; --%	;6	;Aumentar por50.0%	;Disminuir por25.0%	;1	; --%	; --%	;
37	;06/02 12:00 - 13:00	;127	;Aumentar por36.6%	;Disminuir por32.4%	;117	;Aumentar por85.7%	;Disminuir por25.5%	;13	;Disminuir por35.0%	;Disminuir por13.3%	;1	;Sin cambios	; --%	;9	;Aumentar por50.0%	;Aumentar por12.5%	;1	; --%	; --%	;
