Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/10 14:47:57	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
890768	;Aumentar por77.9%	;Disminuir por26.6%	;949773	;Aumentar por79.9%	;Disminuir por26.7%	;31305	;Disminuir por21.0%	;Disminuir por16.3%	;16274	;Disminuir por18.6%	;Disminuir por10.1%	;36251	;Aumentar por49.8%	;Disminuir por19.6%	;31231	;Aumentar por76.0%	;Disminuir por19.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
23	;06/01 22:00 - 23:00	;447	;Aumentar por1141.7%	;Aumentar por8.8%	;275	;Aumentar por643.2%	;Aumentar por13.2%	;15	;Aumentar por200.0%	;Aumentar por87.5%	;9	;Aumentar por200.0%	;Aumentar por200.0%	;11	;Aumentar por1000.0%	;Aumentar por22.2%	;14	;Aumentar por366.7%	;Aumentar por100.0%	;
24	;06/01 23:00 - 24:00	;173	;Aumentar por1822.2%	;Aumentar por18.5%	;115	;Aumentar por721.4%	;Aumentar por55.4%	;15	;Aumentar por275.0%	;Aumentar por650.0%	;5	;Aumentar por150.0%	;Aumentar por400.0%	;18	;Aumentar por500.0%	;Aumentar por38.5%	;9	;Aumentar por350.0%	;Aumentar por350.0%	;
25	;06/02 00:00 - 01:00	;58	;Aumentar por866.7%	;Sin cambios	;35	;Aumentar por1066.7%	;Aumentar por84.2%	;13	;Aumentar por1200.0%	;Aumentar por333.3%	;8	; --%	;Aumentar por700.0%	;5	;Aumentar por400.0%	;Disminuir por16.7%	;5	; --%	;Aumentar por400.0%	;
26	;06/02 01:00 - 02:00	;21	; --%	;Aumentar por162.5%	;10	;Aumentar por900.0%	;Aumentar por400.0%	;7	;Aumentar por600.0%	;Aumentar por75.0%	;0	; --%	;Disminuir por100.0%	;4	; --%	;Aumentar por100.0%	;1	; --%	;Sin cambios	;
27	;06/02 02:00 - 03:00	;14	;Aumentar por1300.0%	;Aumentar por133.3%	;2	;Sin cambios	;Disminuir por50.0%	;3	;Aumentar por200.0%	; --%	;1	; --%	;Sin cambios	;5	; --%	; --%	;2	; --%	; --%	;
28	;06/02 03:00 - 04:00	;1	;Disminuir por75.0%	;Disminuir por90.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;1	; --%	; --%	;0	; --%	; --%	;
29	;06/02 04:00 - 05:00	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
30	;06/02 05:00 - 06:00	;2	;Aumentar por100.0%	;Aumentar por100.0%	;1	; --%	;Sin cambios	;2	; --%	;Aumentar por100.0%	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
31	;06/02 06:00 - 07:00	;11	;Aumentar por120.0%	;Aumentar por120.0%	;12	;Aumentar por300.0%	;Aumentar por300.0%	;11	;Aumentar por120.0%	;Aumentar por22.2%	;8	;Aumentar por700.0%	;Aumentar por60.0%	;4	;Aumentar por300.0%	;Aumentar por33.3%	;1	;Sin cambios	;Disminuir por50.0%	;
32	;06/02 07:00 - 08:00	;28	;Aumentar por86.7%	;Aumentar por3.7%	;29	;Aumentar por314.3%	;Aumentar por26.1%	;16	;Aumentar por23.1%	;Sin cambios	;9	;Aumentar por80.0%	;Sin cambios	;4	;Disminuir por20.0%	;Disminuir por50.0%	;1	; --%	;Disminuir por85.7%	;
33	;06/02 08:00 - 09:00	;119	;Aumentar por750.0%	;Aumentar por153.2%	;60	;Aumentar por445.5%	;Aumentar por66.7%	;30	;Disminuir por11.8%	;Disminuir por36.2%	;13	;Aumentar por18.2%	;Disminuir por31.6%	;9	;Aumentar por125.0%	;Disminuir por35.7%	;1	;Disminuir por50.0%	;Disminuir por83.3%	;
34	;06/02 09:00 - 10:00	;113	;Aumentar por94.8%	;Aumentar por13.0%	;129	;Aumentar por17.3%	;Aumentar por24.0%	;45	;Aumentar por66.7%	;Aumentar por15.4%	;31	;Aumentar por181.8%	;Aumentar por47.6%	;20	;Aumentar por66.7%	;Aumentar por122.2%	;11	;Aumentar por266.7%	;Aumentar por120.0%	;
35	;06/02 10:00 - 11:00	;207	;Aumentar por120.2%	;Disminuir por8.8%	;307	;Aumentar por91.9%	;Disminuir por21.3%	;51	;Aumentar por50.0%	;Aumentar por24.4%	;23	;Aumentar por15.0%	;Aumentar por4.5%	;8	;Aumentar por60.0%	;Disminuir por33.3%	;33	;Aumentar por371.4%	;Disminuir por5.7%	;
