N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
23	;(Martes)2025/12/23	;127	;Disminuir por15.9%	; --%	;105	;Disminuir por35.2%	; --%	;3830	;Aumentar por23.2%	; --%	;3848	;Aumentar por0.6%	; --%	;126	;Disminuir por62.3%	; --%	;97	;Disminuir por61.7%	; --%	;
24	;(Miércoles)2025/12/24	;159	;Disminuir por33.5%	; --%	;141	;Disminuir por26.6%	; --%	;3057	;Disminuir por25.4%	; --%	;2946	;Disminuir por31.6%	; --%	;182	;Disminuir por47.1%	; --%	;127	;Disminuir por46.9%	; --%	;
25	;(Jueves)2025/12/25	;58	;Disminuir por71.3%	; --%	;59	;Disminuir por61.2%	; --%	;2135	;Disminuir por45.6%	; --%	;2008	;Disminuir por49.2%	; --%	;31	;Disminuir por92.3%	; --%	;30	;Disminuir por88.3%	; --%	;
26	;(Viernes)2025/12/26	;91	;Disminuir por26.6%	; --%	;71	;Disminuir por37.7%	; --%	;3666	;Aumentar por20.7%	; --%	;3141	;Aumentar por1.0%	; --%	;56	;Disminuir por71.7%	; --%	;44	;Disminuir por72.3%	; --%	;
27	;(Sábado)2025/12/27	;40	; --%	; --%	;36	; --%	; --%	;3446	; --%	; --%	;3245	; --%	; --%	;36	; --%	; --%	;27	; --%	; --%	;
28	;(Domingo)2025/12/28	;121	;Aumentar por39.1%	; --%	;99	;Aumentar por37.5%	; --%	;2921	;Aumentar por53.4%	; --%	;3197	;Aumentar por109.2%	; --%	;67	;Disminuir por33.7%	; --%	;37	;Disminuir por55.4%	; --%	;
29	;(Lunes)2025/12/29	;122	;Disminuir por56.3%	; --%	;111	;Disminuir por56.6%	; --%	;4484	;Aumentar por0.7%	; --%	;4240	;Aumentar por2.5%	; --%	;124	;Disminuir por73.5%	; --%	;97	;Disminuir por73.0%	; --%	;
30	;(Martes)2025/12/30	;288	;Aumentar por60.0%	; --%	;223	;Aumentar por27.4%	; --%	;4858	;Aumentar por40.6%	; --%	;4644	;Aumentar por3.8%	; --%	;285	;Disminuir por27.5%	; --%	;200	;Disminuir por41.0%	; --%	;
31	;(Miércoles)2025/12/31	;238	;Aumentar por15.0%	; --%	;201	;Aumentar por9.2%	; --%	;3930	;Disminuir por6.8%	; --%	;3273	;Disminuir por24.2%	; --%	;229	;Disminuir por42.0%	; --%	;157	;Disminuir por49.8%	; --%	;
32	;(Jueves)2026/01/01	;172	;Disminuir por22.2%	; --%	;147	;Disminuir por25.8%	; --%	;3281	;Disminuir por17.3%	; --%	;3561	;Disminuir por11.9%	; --%	;152	;Disminuir por67.3%	; --%	;112	;Disminuir por62.3%	; --%	;
33	;(Viernes)2026/01/02	;152	;Disminuir por20.4%	; --%	;130	;Disminuir por20.7%	; --%	;4702	;Aumentar por15.4%	; --%	;4796	;Aumentar por18.2%	; --%	;201	;Disminuir por34.5%	; --%	;161	;Disminuir por32.6%	; --%	;
34	;(Sábado)2026/01/03	;175	;Disminuir por22.2%	; --%	;150	;Disminuir por20.6%	; --%	;3908	;Disminuir por8.5%	; --%	;4001	;Disminuir por3.9%	; --%	;202	;Disminuir por36.3%	; --%	;139	;Disminuir por42.3%	; --%	;
35	;(Domingo)2026/01/04	;67	;Disminuir por73.5%	; --%	;58	;Disminuir por71.8%	; --%	;2386	;Disminuir por53.5%	; --%	;2743	;Disminuir por38.4%	; --%	;35	;Disminuir por91.5%	; --%	;38	;Disminuir por86.0%	; --%	;
36	;(Lunes)2026/01/05	;107	;Disminuir por56.0%	; --%	;94	;Disminuir por54.4%	; --%	;3186	;Disminuir por32.7%	; --%	;3316	;Disminuir por21.3%	; --%	;110	;Disminuir por70.5%	; --%	;93	;Disminuir por69.2%	; --%	;
37	;(Martes)2026/01/06	;81	;Disminuir por56.2%	; --%	;66	;Disminuir por61.8%	; --%	;2099	;Disminuir por41.2%	; --%	;2180	;Disminuir por53.6%	; --%	;89	;Disminuir por70.6%	; --%	;64	;Disminuir por75.6%	; --%	;
38	;(Miércoles)2026/01/07	;116	;Disminuir por46.5%	; --%	;103	;Disminuir por46.6%	; --%	;3396	;Disminuir por22.9%	; --%	;3363	;Disminuir por24.1%	; --%	;142	;Disminuir por59.8%	; --%	;102	;Disminuir por66.0%	; --%	;
39	;(Jueves)2026/01/08	;156	;Disminuir por26.1%	; --%	;131	;Disminuir por18.1%	; --%	;3286	;Disminuir por19.1%	; --%	;3267	;Disminuir por19.5%	; --%	;190	;Disminuir por53.4%	; --%	;141	;Disminuir por57.9%	; --%	;
40	;(Viernes)2026/01/09	;139	;Disminuir por8.6%	; --%	;104	;Disminuir por21.8%	; --%	;3601	;Disminuir por17.9%	; --%	;3449	;Disminuir por19.1%	; --%	;227	;Disminuir por39.8%	; --%	;161	;Disminuir por46.3%	; --%	;
41	;(Sábado)2026/01/10	;132	;Disminuir por31.3%	; --%	;94	;Disminuir por44.4%	; --%	;2933	;Disminuir por36.8%	; --%	;2862	;Disminuir por33.9%	; --%	;194	;Disminuir por45.8%	; --%	;156	;Disminuir por41.4%	; --%	;
42	;(Domingo)2026/01/11	;117	;Disminuir por38.7%	; --%	;110	;Disminuir por40.9%	; --%	;2243	;Disminuir por59.8%	; --%	;2316	;Disminuir por50.0%	; --%	;224	;Disminuir por46.8%	; --%	;165	;Disminuir por50.9%	; --%	;
43	;(Lunes)2026/01/12	;149	;Disminuir por18.1%	; --%	;123	;Disminuir por18.5%	; --%	;3416	;Disminuir por36.6%	; --%	;3405	;Disminuir por26.5%	; --%	;236	;Disminuir por48.7%	; --%	;170	;Disminuir por50.1%	; --%	;
44	;(Martes)2026/01/13	;155	;Disminuir por11.9%	; --%	;123	;Disminuir por27.6%	; --%	;3229	;Disminuir por19.2%	; --%	;3282	;Disminuir por42.4%	; --%	;200	;Disminuir por48.2%	; --%	;155	;Disminuir por57.9%	; --%	;
45	;(Miércoles)2026/01/14	;165	;Disminuir por14.9%	; --%	;143	;Disminuir por8.3%	; --%	;3221	;Disminuir por30.6%	; --%	;3194	;Disminuir por32.5%	; --%	;213	;Disminuir por44.5%	; --%	;164	;Disminuir por47.6%	; --%	;
46	;(Jueves)2026/01/15	;168	;Aumentar por0.6%	; --%	;146	;Disminuir por3.3%	; --%	;3283	;Disminuir por22.5%	; --%	;3316	;Disminuir por23.1%	; --%	;195	;Disminuir por49.5%	; --%	;143	;Disminuir por57.8%	; --%	;
47	;(Viernes)2026/01/16	;144	;Disminuir por14.3%	; --%	;129	;Disminuir por17.8%	; --%	;3415	;Disminuir por20.8%	; --%	;3384	;Disminuir por20.6%	; --%	;192	;Disminuir por45.9%	; --%	;146	;Disminuir por55.6%	; --%	;
48	;(Sábado)2026/01/17	;95	;Disminuir por46.6%	; --%	;86	;Disminuir por38.6%	; --%	;2351	;Disminuir por48.0%	; --%	;2463	;Disminuir por43.3%	; --%	;48	;Disminuir por87.8%	; --%	;36	;Disminuir por88.9%	; --%	;
49	;(Domingo)2026/01/18	;123	;Disminuir por47.9%	; --%	;125	;Disminuir por37.5%	; --%	;2094	;Disminuir por64.4%	; --%	;2142	;Disminuir por53.4%	; --%	;175	;Disminuir por63.2%	; --%	;133	;Disminuir por63.3%	; --%	;
50	;(Lunes)2026/01/19	;120	;Disminuir por59.3%	; --%	;108	;Disminuir por55.6%	; --%	;3211	;Disminuir por47.8%	; --%	;3223	;Disminuir por31.9%	; --%	;108	;Disminuir por78.4%	; --%	;75	;Disminuir por81.9%	; --%	;
51	;(Martes)2026/01/20	;68	;Disminuir por73.5%	; --%	;49	;Disminuir por77.5%	; --%	;2895	;Disminuir por35.8%	; --%	;2935	;Disminuir por52.1%	; --%	;54	;Disminuir por88.8%	; --%	;33	;Disminuir por92.1%	; --%	;
52	;(Miércoles)2026/01/21	;114	;Disminuir por57.5%	; --%	;94	;Disminuir por55.2%	; --%	;3289	;Disminuir por38.2%	; --%	;3299	;Disminuir por42.5%	; --%	;151	;Disminuir por62.7%	; --%	;93	;Disminuir por75.9%	; --%	;
53	;(Jueves)2026/01/22	;148	;Disminuir por35.4%	; --%	;134	;Disminuir por25.6%	; --%	;3441	;Disminuir por21.5%	; --%	;3353	;Disminuir por24.7%	; --%	;154	;Disminuir por62.5%	; --%	;117	;Disminuir por68.4%	; --%	;
54	;(Viernes)2026/01/23	;165	;Disminuir por20.3%	; --%	;141	;Disminuir por9.6%	; --%	;3671	;Disminuir por19.5%	; --%	;3523	;Disminuir por25.2%	; --%	;215	;Disminuir por50.8%	; --%	;145	;Disminuir por58.3%	; --%	;
55	;(Sábado)2026/01/24	;129	;Disminuir por38.3%	; --%	;103	;Disminuir por36.4%	; --%	;2996	;Disminuir por33.9%	; --%	;2751	;Disminuir por38.3%	; --%	;150	;Disminuir por61.6%	; --%	;118	;Disminuir por65.7%	; --%	;
56	;(Domingo)2026/01/25	;127	;Disminuir por37.4%	; --%	;125	;Disminuir por17.8%	; --%	;2239	;Disminuir por62.0%	; --%	;2465	;Disminuir por49.6%	; --%	;237	;Disminuir por48.9%	; --%	;162	;Disminuir por56.3%	; --%	;
57	;(Lunes)2026/01/26	;197	;Disminuir por15.5%	; --%	;157	;Disminuir por10.8%	; --%	;3457	;Disminuir por35.6%	; --%	;3506	;Disminuir por25.9%	; --%	;223	;Disminuir por50.6%	; --%	;153	;Disminuir por60.4%	; --%	;
