N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
26	;(Viernes)2025/12/26	;2734	;Aumentar por443.5%	; --%	;1407	;Aumentar por433.0%	; --%	;1	;Disminuir por85.7%	; --%	;14	;Disminuir por63.2%	; --%	;6	;Disminuir por57.1%	; --%	;17	;Disminuir por43.3%	; --%	;
27	;(Sábado)2025/12/27	;1703	; --%	; --%	;840	; --%	; --%	;5	; --%	; --%	;26	; --%	; --%	;3	; --%	; --%	;4	; --%	; --%	;
28	;(Domingo)2025/12/28	;4461	; --%	; --%	;1622	; --%	; --%	;1	; --%	; --%	;4	; --%	; --%	;13	; --%	; --%	;17	; --%	; --%	;
29	;(Lunes)2025/12/29	;3565	; --%	; --%	;1477	; --%	; --%	;11	; --%	; --%	;32	; --%	; --%	;10	; --%	; --%	;18	; --%	; --%	;
30	;(Martes)2025/12/30	;7279	; --%	; --%	;4234	; --%	; --%	;3	; --%	; --%	;32	; --%	; --%	;26	; --%	; --%	;23	; --%	; --%	;
31	;(Miércoles)2025/12/31	;3743	; --%	; --%	;1336	; --%	; --%	;3	; --%	; --%	;15	; --%	; --%	;21	; --%	; --%	;40	; --%	; --%	;
32	;(Jueves)2026/01/01	;7004	; --%	; --%	;3142	; --%	; --%	;4	; --%	; --%	;4	; --%	; --%	;34	; --%	; --%	;30	; --%	; --%	;
33	;(Viernes)2026/01/02	;4148	; --%	; --%	;1706	; --%	; --%	;0	; --%	; --%	;23	; --%	; --%	;31	; --%	; --%	;41	; --%	; --%	;
34	;(Sábado)2026/01/03	;4043	; --%	; --%	;1715	; --%	; --%	;2	; --%	; --%	;20	; --%	; --%	;16	; --%	; --%	;26	; --%	; --%	;
35	;(Domingo)2026/01/04	;1473	;Aumentar por2.1%	; --%	;486	;Disminuir por12.1%	; --%	;0	;Disminuir por100.0%	; --%	;14	;Disminuir por17.6%	; --%	;6	;Disminuir por45.5%	; --%	;6	;Disminuir por82.4%	; --%	;
36	;(Lunes)2026/01/05	;732	;Disminuir por78.5%	; --%	;292	;Disminuir por80.8%	; --%	;2	; --%	; --%	;40	;Aumentar por42.9%	; --%	;3	;Disminuir por92.7%	; --%	;13	;Disminuir por85.4%	; --%	;
37	;(Martes)2026/01/06	;706	;Disminuir por75.1%	; --%	;256	;Disminuir por80.2%	; --%	;2	; --%	; --%	;19	;Aumentar por90.0%	; --%	;8	;Disminuir por72.4%	; --%	;17	;Disminuir por61.4%	; --%	;
38	;(Miércoles)2026/01/07	;336	;Disminuir por67.7%	; --%	;117	;Disminuir por72.3%	; --%	;6	;Aumentar por500.0%	; --%	;36	;Disminuir por23.4%	; --%	;11	;Disminuir por38.9%	; --%	;24	;Disminuir por41.5%	; --%	;
39	;(Jueves)2026/01/08	;313	;Disminuir por70.5%	; --%	;125	;Disminuir por70.2%	; --%	;0	;Disminuir por100.0%	; --%	;38	;Disminuir por22.4%	; --%	;12	;Disminuir por25.0%	; --%	;27	;Disminuir por44.9%	; --%	;
40	;(Viernes)2026/01/09	;432	;Disminuir por59.5%	; --%	;196	;Disminuir por49.7%	; --%	;2	;Disminuir por77.8%	; --%	;49	;Disminuir por30.0%	; --%	;16	;Disminuir por15.8%	; --%	;15	;Disminuir por71.2%	; --%	;
41	;(Sábado)2026/01/10	;879	;Disminuir por28.8%	; --%	;322	;Disminuir por39.1%	; --%	;1	;Disminuir por95.8%	; --%	;20	;Disminuir por75.0%	; --%	;18	;Disminuir por35.7%	; --%	;28	;Disminuir por40.4%	; --%	;
42	;(Domingo)2026/01/11	;649	;Disminuir por84.0%	; --%	;163	;Disminuir por94.4%	; --%	;0	;Disminuir por100.0%	; --%	;23	;Disminuir por65.2%	; --%	;16	;Disminuir por42.9%	; --%	;9	;Disminuir por82.0%	; --%	;
43	;(Lunes)2026/01/12	;245	;Disminuir por95.1%	; --%	;96	;Disminuir por96.5%	; --%	;2	;Disminuir por33.3%	; --%	;41	;Aumentar por24.2%	; --%	;12	;Disminuir por77.4%	; --%	;31	;Disminuir por49.2%	; --%	;
44	;(Martes)2026/01/13	;302	;Disminuir por88.4%	; --%	;178	;Disminuir por84.4%	; --%	;2	;Disminuir por60.0%	; --%	;51	;Aumentar por142.9%	; --%	;10	;Disminuir por67.7%	; --%	;36	;Disminuir por14.3%	; --%	;
45	;(Miércoles)2026/01/14	;303	;Disminuir por76.3%	; --%	;144	;Disminuir por69.6%	; --%	;2	;Disminuir por96.5%	; --%	;42	;Disminuir por56.3%	; --%	;10	;Disminuir por28.6%	; --%	;28	;Disminuir por36.4%	; --%	;
46	;(Jueves)2026/01/15	;265	;Disminuir por78.8%	; --%	;153	;Disminuir por68.1%	; --%	;30	;Aumentar por100.0%	; --%	;70	;Disminuir por1.4%	; --%	;16	;Aumentar por33.3%	; --%	;28	;Disminuir por15.2%	; --%	;
47	;(Viernes)2026/01/16	;284	;Disminuir por78.0%	; --%	;131	;Disminuir por78.5%	; --%	;2	;Disminuir por84.6%	; --%	;37	;Disminuir por41.3%	; --%	;12	;Disminuir por42.9%	; --%	;27	;Disminuir por53.4%	; --%	;
