N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
25	;(Jueves)2025/12/25	;440	;Disminuir por72.6%	; --%	;530	;Disminuir por68.9%	; --%	;789	;Disminuir por15.3%	; --%	;1373	;Disminuir por36.9%	; --%	;22	;Disminuir por94.9%	; --%	;32	;Disminuir por95.3%	; --%	;
26	;(Viernes)2025/12/26	;904	;Disminuir por39.3%	; --%	;1100	;Disminuir por28.4%	; --%	;1062	;Aumentar por11.7%	; --%	;1651	;Disminuir por26.8%	; --%	;56	;Disminuir por82.4%	; --%	;84	;Disminuir por83.5%	; --%	;
27	;(Sábado)2025/12/27	;606	;Disminuir por64.1%	; --%	;737	;Disminuir por59.3%	; --%	;1123	;Aumentar por10.1%	; --%	;1702	;Disminuir por30.6%	; --%	;29	;Disminuir por93.4%	; --%	;32	;Disminuir por95.3%	; --%	;
28	;(Domingo)2025/12/28	;1061	;Disminuir por50.4%	; --%	;1433	;Disminuir por41.9%	; --%	;1102	;Aumentar por5.4%	; --%	;1622	;Disminuir por24.2%	; --%	;108	;Disminuir por75.6%	; --%	;124	;Disminuir por78.2%	; --%	;
29	;(Lunes)2025/12/29	;1295	;Disminuir por59.9%	; --%	;1515	;Disminuir por57.5%	; --%	;1305	;Aumentar por36.5%	; --%	;2265	;Aumentar por17.1%	; --%	;143	;Disminuir por68.4%	; --%	;141	;Disminuir por77.9%	; --%	;
30	;(Martes)2025/12/30	;1720	;Disminuir por23.9%	; --%	;1949	;Disminuir por28.2%	; --%	;1362	;Aumentar por32.0%	; --%	;2377	;Aumentar por8.4%	; --%	;310	;Disminuir por33.6%	; --%	;400	;Disminuir por42.2%	; --%	;
31	;(Miércoles)2025/12/31	;1529	;Disminuir por20.0%	; --%	;1623	;Disminuir por25.3%	; --%	;1158	;Aumentar por4.5%	; --%	;2018	;Disminuir por19.3%	; --%	;300	;Disminuir por52.6%	; --%	;389	;Disminuir por56.7%	; --%	;
32	;(Jueves)2026/01/01	;1931	;Aumentar por12.2%	; --%	;2370	;Aumentar por27.1%	; --%	;1077	;Disminuir por5.8%	; --%	;2001	;Disminuir por16.3%	; --%	;218	;Disminuir por58.7%	; --%	;282	;Disminuir por64.8%	; --%	;
33	;(Viernes)2026/01/02	;1070	;Disminuir por37.6%	; --%	;1217	;Disminuir por31.5%	; --%	;1108	;Aumentar por5.5%	; --%	;2148	;Disminuir por11.4%	; --%	;213	;Disminuir por53.9%	; --%	;297	;Disminuir por53.0%	; --%	;
34	;(Sábado)2026/01/03	;1536	;Disminuir por10.5%	; --%	;1946	;Aumentar por6.1%	; --%	;1036	;Disminuir por0.8%	; --%	;1814	;Disminuir por24.5%	; --%	;194	;Disminuir por57.0%	; --%	;295	;Disminuir por55.1%	; --%	;
35	;(Domingo)2026/01/04	;661	;Disminuir por69.8%	; --%	;985	;Disminuir por58.0%	; --%	;773	;Disminuir por39.3%	; --%	;1341	;Disminuir por50.8%	; --%	;48	;Disminuir por91.8%	; --%	;72	;Disminuir por91.1%	; --%	;
36	;(Lunes)2026/01/05	;939	;Disminuir por70.5%	; --%	;988	;Disminuir por72.7%	; --%	;977	;Aumentar por11.3%	; --%	;1829	;Aumentar por5.4%	; --%	;173	;Disminuir por61.4%	; --%	;194	;Disminuir por70.5%	; --%	;
37	;(Martes)2026/01/06	;511	;Disminuir por80.0%	; --%	;508	;Disminuir por84.0%	; --%	;803	;Disminuir por24.7%	; --%	;1607	;Disminuir por30.0%	; --%	;97	;Disminuir por79.1%	; --%	;161	;Disminuir por77.4%	; --%	;
38	;(Miércoles)2026/01/07	;546	;Disminuir por72.8%	; --%	;532	;Disminuir por77.1%	; --%	;1620	;Aumentar por37.8%	; --%	;2526	;Disminuir por5.9%	; --%	;219	;Disminuir por59.7%	; --%	;278	;Disminuir por65.3%	; --%	;
39	;(Jueves)2026/01/08	;534	;Disminuir por74.6%	; --%	;577	;Disminuir por74.7%	; --%	;993	;Disminuir por9.1%	; --%	;1834	;Disminuir por28.3%	; --%	;248	;Disminuir por40.8%	; --%	;329	;Disminuir por52.2%	; --%	;
40	;(Viernes)2026/01/09	;625	;Disminuir por67.3%	; --%	;639	;Disminuir por69.5%	; --%	;944	;Disminuir por17.1%	; --%	;1844	;Disminuir por29.9%	; --%	;249	;Disminuir por29.7%	; --%	;339	;Disminuir por48.9%	; --%	;
41	;(Sábado)2026/01/10	;833	;Disminuir por59.0%	; --%	;898	;Disminuir por63.3%	; --%	;870	;Disminuir por36.5%	; --%	;1543	;Disminuir por45.3%	; --%	;230	;Disminuir por52.5%	; --%	;316	;Disminuir por53.3%	; --%	;
42	;(Domingo)2026/01/11	;657	;Disminuir por76.1%	; --%	;648	;Disminuir por78.1%	; --%	;660	;Disminuir por37.8%	; --%	;1359	;Disminuir por41.1%	; --%	;269	;Disminuir por45.2%	; --%	;390	;Disminuir por44.2%	; --%	;
43	;(Lunes)2026/01/12	;608	;Disminuir por86.2%	; --%	;601	;Disminuir por86.7%	; --%	;973	;Disminuir por19.5%	; --%	;1822	;Aumentar por32.3%	; --%	;454	;Disminuir por14.3%	; --%	;455	;Disminuir por25.5%	; --%	;
44	;(Martes)2026/01/13	;538	;Disminuir por84.2%	; --%	;555	;Disminuir por85.6%	; --%	;875	;Disminuir por29.0%	; --%	;1735	;Disminuir por26.2%	; --%	;222	;Disminuir por58.6%	; --%	;308	;Disminuir por60.9%	; --%	;
45	;(Miércoles)2026/01/14	;542	;Disminuir por78.1%	; --%	;521	;Disminuir por80.7%	; --%	;915	;Disminuir por25.2%	; --%	;1749	;Disminuir por37.1%	; --%	;209	;Disminuir por61.9%	; --%	;288	;Disminuir por64.3%	; --%	;
46	;(Jueves)2026/01/15	;520	;Disminuir por77.5%	; --%	;468	;Disminuir por81.4%	; --%	;858	;Disminuir por31.6%	; --%	;1737	;Disminuir por32.1%	; --%	;207	;Disminuir por49.8%	; --%	;303	;Disminuir por55.0%	; --%	;
47	;(Viernes)2026/01/16	;567	;Disminuir por73.8%	; --%	;608	;Disminuir por74.7%	; --%	;888	;Disminuir por24.3%	; --%	;1779	;Disminuir por29.1%	; --%	;220	;Disminuir por51.0%	; --%	;315	;Disminuir por60.7%	; --%	;
48	;(Sábado)2026/01/17	;455	;Disminuir por81.1%	; --%	;580	;Disminuir por77.2%	; --%	;844	;Disminuir por33.5%	; --%	;1491	;Disminuir por42.5%	; --%	;39	;Disminuir por92.1%	; --%	;57	;Disminuir por92.2%	; --%	;
49	;(Domingo)2026/01/18	;592	;Disminuir por82.1%	; --%	;666	;Disminuir por80.9%	; --%	;651	;Disminuir por42.3%	; --%	;1316	;Disminuir por54.6%	; --%	;206	;Disminuir por63.7%	; --%	;309	;Disminuir por63.1%	; --%	;
50	;(Lunes)2026/01/19	;456	;Disminuir por91.3%	; --%	;433	;Disminuir por92.5%	; --%	;920	;Aumentar por30.3%	; --%	;1734	;Disminuir por45.7%	; --%	;172	;Disminuir por69.4%	; --%	;182	;Disminuir por81.3%	; --%	;
51	;(Martes)2026/01/20	;294	;Disminuir por94.7%	; --%	;297	;Disminuir por95.5%	; --%	;889	;Disminuir por27.5%	; --%	;1795	;Disminuir por20.4%	; --%	;49	;Disminuir por92.3%	; --%	;58	;Disminuir por93.7%	; --%	;
52	;(Miércoles)2026/01/21	;427	;Disminuir por88.1%	; --%	;443	;Disminuir por89.5%	; --%	;829	;Disminuir por43.2%	; --%	;1630	;Disminuir por49.9%	; --%	;155	;Disminuir por71.8%	; --%	;195	;Disminuir por74.4%	; --%	;
53	;(Jueves)2026/01/22	;511	;Disminuir por84.2%	; --%	;543	;Disminuir por84.3%	; --%	;965	;Disminuir por23.4%	; --%	;1902	;Disminuir por28.4%	; --%	;231	;Disminuir por52.4%	; --%	;285	;Disminuir por66.2%	; --%	;
54	;(Viernes)2026/01/23	;619	;Disminuir por79.2%	; --%	;591	;Disminuir por80.8%	; --%	;988	;Disminuir por25.8%	; --%	;1890	;Disminuir por33.4%	; --%	;244	;Disminuir por50.4%	; --%	;316	;Disminuir por64.6%	; --%	;
